hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6860013,6860001,33.6092,-112.18,33.5833,-111.873
6860022,6860001,33.480482,-112.04066,33.5833,-111.873
6864000,6860001,31.4178,-109.883,33.5833,-111.873
6860454,6860001,33.6437,-111.898,33.5833,-111.873
6860024,6860001,33.3803,-111.735,33.5833,-111.873
6860225,6860001,34.2317,-111.321,33.5833,-111.873
6860182,6860001,35.2209,-113.9915,33.5833,-111.873
6860042,6860001,33.292,-111.6865,33.5833,-111.873
6860021,6860001,35.2088,-111.644,33.5833,-111.873
6860180,6860001,33.4061,-110.827,33.5833,-111.873
6860023,6860001,32.294152,-110.9708,33.5833,-111.873
6860044,6860001,33.601973,-111.88792,33.5833,-111.873
6860049,6860001,33.4639,-112.06,33.5833,-111.873
6860378,6860001,33.6037,-112.284,33.5833,-111.873
6860039,6860001,33.433045,-111.8399,33.5833,-111.873
6860315,6860001,33.6394,-111.997,33.5833,-111.873
6860502,6860001,32.2397,-110.85778,33.5833,-111.873
6860003,6860001,33.33506,-111.84642,33.5833,-111.873
6860220,6860001,34.1465,-114.299,33.5833,-111.873
6860100,6860001,35.709,-109.542,33.5833,-111.873
6860016,6860001,33.3902,-111.877,33.5833,-111.873
6860048,6860001,33.495,-111.9223,33.5833,-111.873
6860410,6860001,36.1363,-111.24,33.5833,-111.873
6860051,6860001,33.287,-111.752,33.5833,-111.873
6860179,6860001,33.026108,-111.39323,33.5833,-111.873
6860246,6860001,33.4515,-112.043,33.5833,-111.873
6869050,6860001,33.531223,-112.09882,33.5833,-111.873
6860215,6860001,36.9175,-111.464,33.5833,-111.873
6860483,6860001,33.3816,-111.845,33.5833,-111.873
6860235,6860001,36.1578,-109.583,33.5833,-111.873
6860090,6860001,35.7593,-109.048,33.5833,-111.873
6860056,6860001,34.588314,-112.3307,33.5833,-111.873
6860232,6860001,33.5241,-112.102,33.5833,-111.873
6860038,6860001,33.3348,-111.891,33.5833,-111.873
6860175,6860001,33.434916,-111.84284,33.5833,-111.873
6869156,6860001,33.5611,-111.89,33.5833,-111.873
6860012,6860001,31.9649,-110.308,33.5833,-111.873
6860058,6860001,33.609,-112.2986,33.5833,-111.873
6860469,6860001,33.3807,-112.167,33.5833,-111.873
6860562,6860001,32.2652,-109.838,33.5833,-111.873
6860009,6860001,33.6077,-112.204,33.5833,-111.873
6860047,6860001,33.3916,-111.611,33.5833,-111.873
6860043,6860001,33.384,-111.723,33.5833,-111.873
6860057,6860001,33.4114,-111.6819,33.5833,-111.873
6860387,6860001,33.3802,-111.71,33.5833,-111.873
6860205,6860001,34.1355,-114.285,33.5833,-111.873
6860250,6860001,33.4649,-112.058,33.5833,-111.873
6860165,6860001,33.4334,-111.83987,33.5833,-111.873
6860390,6860001,33.412369,-111.94008,33.5833,-111.873
6860257,6860001,33.43682,-112.08241,33.5833,-111.873
6860008,6860001,33.4808,-111.991,33.5833,-111.873
6860430,6860001,33.6601,-112.373,33.5833,-111.873
6860300,6860001,33.53989,-112.35833,33.5833,-111.873
6860395,6860001,33.5801,-111.885,33.5833,-111.873
6860234,6860001,33.511448,-112.00778,33.5833,-111.873
6860019,6860001,33.6589,-111.956,33.5833,-111.873
6860162,6860001,33.4248,-111.82271,33.5833,-111.873
6860560,6860001,33.9783,-112.74,33.5833,-111.873
6860379,6860001,31.5546,-110.231,33.5833,-111.873
6860437,6860001,33.4356,-112.081,33.5833,-111.873
6860255,6860001,33.4577,-112.026,33.5833,-111.873
6869151,6860001,33.4566,-111.997,33.5833,-111.873
6860290,6860001,33.4515,-112.043,33.5833,-111.873
6860054,6860001,33.6708,-111.922,33.5833,-111.873
6860310,6860001,33.4955,-112.066,33.5833,-111.873
6860484,6860001,33.4645,-112.286,33.5833,-111.873
6860080,6860001,33.026377,-111.3879,33.5833,-111.873
6860360,6860001,32.8226,-109.735,33.5833,-111.873
6860370,6860001,33.2954,-110.418,33.5833,-111.873
6860050,6860001,31.364319,-109.59753,33.5833,-111.873
6860027,6860001,33.4626,-112.352,33.5833,-111.873
6860256,6860001,33.502277,-112.16901,33.5833,-111.873
6860253,6860001,33.5689,-112.071,33.5833,-111.873
6860485,6860001,32.259574,-111.02221,33.5833,-111.873
6860242,6860001,33.480193,-112.03903,33.5833,-111.873
6869152,6860001,35.2068,-111.607,33.5833,-111.873
6860374,6860001,34.1316,-109.286,33.5833,-111.873
6860165,6860002,33.4334,-111.83987,32.517,-110.888
6860483,6860002,33.3816,-111.845,32.517,-110.888
6860162,6860002,33.4248,-111.82271,32.517,-110.888
6860033,6860002,32.3185,-111.008,32.517,-110.888
6860376,6860002,33.4885,-111.923,32.517,-110.888
6860476,6860002,33.3401,-111.847,32.517,-110.888
6860378,6860002,33.6037,-112.284,32.517,-110.888
6860020,6860002,32.2527,-110.878,32.517,-110.888
6860261,6860002,32.3168,-111.007,32.517,-110.888
6860257,6860002,33.43682,-112.08241,32.517,-110.888
6860516,6860002,32.241,-110.946,32.517,-110.888
6860360,6860002,32.8226,-109.735,32.517,-110.888
6860140,6860002,35.8021,-110.427,32.517,-110.888
6869156,6860002,33.5611,-111.89,32.517,-110.888
6869154,6860002,34.1652,-109.975,32.517,-110.888
6860031,6860002,33.4799,-112.032,32.517,-110.888
6860035,6860002,32.4293,-110.949,32.517,-110.888
6860460,6860002,32.2266,-110.855,32.517,-110.888
6860410,6860002,36.1363,-111.24,32.517,-110.888
6860430,6860002,33.6601,-112.373,32.517,-110.888
6860080,6860002,33.026377,-111.3879,32.517,-110.888
6860026,6860002,33.4112,-111.687,32.517,-110.888
6860469,6860002,33.3807,-112.167,32.517,-110.888
6860029,6860002,33.5322,-112.099,32.517,-110.888
6860437,6860002,33.4356,-112.081,32.517,-110.888
6860369,6860002,31.9186,-111.89,32.517,-110.888
6860013,6860002,33.6092,-112.18,32.517,-110.888
6860484,6860002,33.4645,-112.286,32.517,-110.888
6860256,6860002,33.502277,-112.16901,32.517,-110.888
6860370,6860002,33.2954,-110.418,32.517,-110.888
6860373,6860002,34.2028,-110.018,32.517,-110.888
6860255,6860002,33.4577,-112.026,32.517,-110.888
6860479,6860002,31.8066,-111.01,32.517,-110.888
6860220,6860002,34.1465,-114.299,32.517,-110.888
6860018,6860002,32.2256,-110.859,32.517,-110.888
6860390,6860002,33.412369,-111.94008,32.517,-110.888
6860387,6860002,33.3802,-111.71,32.517,-110.888
6860305,6860002,33.6551,-112.202,32.517,-110.888
6860233,6860002,33.5808,-112.189,32.517,-110.888
6860017,6860002,32.256,-110.883,32.517,-110.888
6869157,6860002,33.6394,-112.341,32.517,-110.888
6860225,6860002,34.2317,-111.321,32.517,-110.888
6860405,6860002,32.231,-110.838,32.517,-110.888
6860021,6860002,35.2088,-111.644,32.517,-110.888
6860054,6860002,33.6708,-111.922,32.517,-110.888
6860019,6860002,33.6589,-111.956,32.517,-110.888
6860232,6860002,33.5241,-112.102,32.517,-110.888
6860242,6860002,33.480193,-112.03903,32.517,-110.888
6860182,6860002,35.2209,-113.9915,32.517,-110.888
6860003,6860002,33.33506,-111.84642,32.517,-110.888
6860215,6860002,36.9175,-111.464,32.517,-110.888
6860253,6860002,33.5689,-112.071,32.517,-110.888
6869155,6860002,33.3642,-111.939,32.517,-110.888
6860180,6860002,33.4061,-110.827,32.517,-110.888
6869151,6860002,33.4566,-111.997,32.517,-110.888
6860262,6860002,33.454,-112.364,32.517,-110.888
6860023,6860002,32.294152,-110.9708,32.517,-110.888
6860016,6860002,33.3902,-111.877,32.517,-110.888
6860185,6860002,33.4113,-111.688,32.517,-110.888
6860570,6860002,35.0358,-110.692,32.517,-110.888
6860009,6860002,33.6077,-112.204,32.517,-110.888
6869152,6860002,35.2068,-111.607,32.517,-110.888
6860250,6860002,33.4649,-112.058,32.517,-110.888
6860150,6860002,35.2203,-114.037,32.517,-110.888
6864010,6860002,32.3203,-111.01,32.517,-110.888
6860246,6860002,33.4515,-112.043,32.517,-110.888
6860048,6860002,33.495,-111.9223,32.517,-110.888
6860235,6860002,36.1578,-109.583,32.517,-110.888
6860575,6860002,33.4928,-112.072,32.517,-110.888
6860562,6860002,32.2652,-109.838,32.517,-110.888
6860210,6860002,33.4793,-112.04,32.517,-110.888
6860445,6860002,32.2561,-110.876,32.517,-110.888
6860355,6860002,33.4829,-111.919,32.517,-110.888
6860560,6860002,33.9783,-112.74,32.517,-110.888
6860234,6860002,33.511448,-112.00778,32.517,-110.888
6864000,6860002,31.4178,-109.883,32.517,-110.888
6860450,6860002,32.1779,-110.93,32.517,-110.888
6860502,6860002,32.2397,-110.85778,32.517,-110.888
6860024,6860002,33.3803,-111.735,32.517,-110.888
6860486,6860002,33.6779,-112.114,32.517,-110.888
6860008,6860002,33.4808,-111.991,32.517,-110.888
6860039,6860002,33.433045,-111.8399,32.517,-110.888
6860042,6860002,33.292,-111.6865,32.517,-110.888
6860051,6860002,33.287,-111.752,32.517,-110.888
6860520,6860002,32.1813,-110.966,32.517,-110.888
6860038,6860002,33.3348,-111.891,32.517,-110.888
6860027,6860002,33.4626,-112.352,32.517,-110.888
6860325,6860002,33.6657,-112.116,32.517,-110.888
6860290,6860002,33.4515,-112.043,32.517,-110.888
6860001,6860002,33.5833,-111.873,32.517,-110.888
6860550,6860002,33.8759,-109.958,32.517,-110.888
6860395,6860002,33.5801,-111.885,32.517,-110.888
6860047,6860002,33.3916,-111.611,32.517,-110.888
6860454,6860002,33.6437,-111.898,32.517,-110.888
6860315,6860002,33.6394,-111.997,32.517,-110.888
6860034,6860002,33.4254,-111.821,32.517,-110.888
6860280,6860002,33.4819,-112.079,32.517,-110.888
