hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6840030,6840002,39.9519,-105.152,38.8655,-104.822
6840365,6840002,39.747,-104.967,38.8655,-104.822
6840315,6840002,39.7391,-104.941,38.8655,-104.822
6840725,6840002,37.2629,-105.966,38.8655,-104.822
6840156,6840002,39.67,-104.975,38.8655,-104.822
6840067,6840002,39.9639,-104.769,38.8655,-104.822
6840130,6840002,38.8257,-102.356,38.8655,-104.822
6840460,6840002,39.7321,-104.936,38.8655,-104.822
6840041,6840002,37.2521,-107.079,38.8655,-104.822
6840945,6840002,38.99329,-104.88615,38.8655,-104.822
6849233,6840002,39.552,-105.005,38.8655,-104.822
6840017,6840002,39.74288,-104.95299,38.8655,-104.822
6840290,6840002,39.7282,-104.991,38.8655,-104.822
6840325,6840002,39.7322,-104.934,38.8655,-104.822
6849015,6840002,39.880025,-105.09137,38.8655,-104.822
6840950,6840002,39.6435,-106.382,38.8655,-104.822
6840965,6840002,39.9564,-104.991,38.8655,-104.822
6840014,6840002,39.6886,-104.832,38.8655,-104.822
6840458,6840002,39.8635,-104.985,38.8655,-104.822
6840465,6840002,39.7463,-104.965,38.8655,-104.822
6840050,6840002,39.952,-105.148,38.8655,-104.822
6840023,6840002,39.5291,-104.871,38.8655,-104.822
6849230,6840002,40.1634,-105.03,38.8655,-104.822
6849223,6840002,39.4053,-104.887,38.8655,-104.822
6840027,6840002,38.940181,-104.71428,38.8655,-104.822
6840280,6840002,39.7421,-104.835,38.8655,-104.822
6840450,6840002,39.73099,-104.93793,38.8655,-104.822
6840429,6840002,39.5744,-105,38.8655,-104.822
6840040,6840002,40.0163,-105.236,38.8655,-104.822
6840755,6840002,40.1823,-105.126,38.8655,-104.822
6840240,6840002,38.7454,-108.047,38.8655,-104.822
6840900,6840002,38.5432,-106.009,38.8655,-104.822
6849231,6840002,39.5586,-104.827,38.8655,-104.822
6840911,6840002,37.4042,-102.612,38.8655,-104.822
6840024,6840002,39.7279,-104.827,38.8655,-104.822
6840530,6840002,39.6542,-104.981,38.8655,-104.822
6840360,6840002,39.67,-104.975,38.8655,-104.822
6840475,6840002,39.8504,-104.98,38.8655,-104.822
6840430,6840002,39.7448,-104.99,38.8655,-104.822
6840022,6840002,39.5486,-104.771,38.8655,-104.822
6840031,6840002,39.746224,-104.96684,38.8655,-104.822
6840805,6840002,39.5763,-104.986,38.8655,-104.822
6840011,6840002,39.7435,-105.035,38.8655,-104.822
6840039,6840002,39.5628,-104.908,38.8655,-104.822
6840021,6840002,39.9705,-105.086,38.8655,-104.822
6840740,6840002,39.6542,-104.979,38.8655,-104.822
6840015,6840002,39.6415,-105.034,38.8655,-104.822
6840013,6840002,39.7311,-104.827,38.8655,-104.822
6840400,6840002,39.7462,-104.972,38.8655,-104.822
6840010,6840002,37.4722,-105.883,38.8655,-104.822
6840475,6840010,39.8504,-104.98,37.4722,-105.883
6840067,6840010,39.9639,-104.769,37.4722,-105.883
6840156,6840010,39.67,-104.975,37.4722,-105.883
6840458,6840010,39.8635,-104.985,37.4722,-105.883
6840017,6840010,39.74288,-104.95299,37.4722,-105.883
6840280,6840010,39.7421,-104.835,37.4722,-105.883
6840945,6840010,38.99329,-104.88615,37.4722,-105.883
6840027,6840010,38.940181,-104.71428,37.4722,-105.883
6840031,6840010,39.746224,-104.96684,37.4722,-105.883
6840430,6840010,39.7448,-104.99,37.4722,-105.883
6840450,6840010,39.73099,-104.93793,37.4722,-105.883
6849015,6840010,39.880025,-105.09137,37.4722,-105.883
6849015,6840011,39.880025,-105.09137,39.7435,-105.035
6840365,6840011,39.747,-104.967,39.7435,-105.035
6849230,6840011,40.1634,-105.03,39.7435,-105.035
6840400,6840011,39.7462,-104.972,39.7435,-105.035
6840805,6840011,39.5763,-104.986,39.7435,-105.035
6840725,6840011,37.2629,-105.966,39.7435,-105.035
6840458,6840011,39.8635,-104.985,39.7435,-105.035
6840017,6840011,39.74288,-104.95299,39.7435,-105.035
6840280,6840011,39.7421,-104.835,39.7435,-105.035
6840021,6840011,39.9705,-105.086,39.7435,-105.035
6840030,6840011,39.9519,-105.152,39.7435,-105.035
6840024,6840011,39.7279,-104.827,39.7435,-105.035
6840740,6840011,39.6542,-104.979,39.7435,-105.035
6840040,6840011,40.0163,-105.236,39.7435,-105.035
