hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6390243,6390001,26.612081,-81.811121,28.40847,-81.470179
6390718,6390001,28.566632,-81.430554,28.40847,-81.470179
6391025,6390001,25.79825,-80.361272,28.40847,-81.470179
6391071,6390001,27.981288,-82.473548,28.40847,-81.470179
6390310,6390001,30.346436,-81.663134,28.40847,-81.470179
6390330,6390001,30.346712,-81.664613,28.40847,-81.470179
6390029,6390001,28.191244,-82.465284,28.40847,-81.470179
6399040,6390002,26.1191,-80.1276,27.2268,-81.8503
6390123,6390002,26.1638,-80.1934,27.2268,-81.8503
6390104,6390002,29.141979,-82.197937,27.2268,-81.8503
6390122,6390002,25.743091,-80.216387,27.2268,-81.8503
6390077,6390002,27.74083,-82.640531,27.2268,-81.8503
6390843,6390002,26.1264,-80.2053,27.2268,-81.8503
6390310,6390002,30.346436,-81.663134,27.2268,-81.8503
6390870,6390002,28.3352,-80.7232,27.2268,-81.8503
6390260,6390002,29.65024,-82.33278,27.2268,-81.8503
6390210,6390002,26.1022,-80.1408,27.2268,-81.8503
6390127,6390002,30.140512,-81.523816,27.2268,-81.8503
6390700,6390002,30.166,-81.7376,27.2268,-81.8503
6390043,6390002,26.2121,-80.2544,27.2268,-81.8503
6390069,6390002,25.797591,-80.207388,27.2268,-81.8503
6390776,6390002,30.1866,-85.6651,27.2268,-81.8503
6390290,6390002,26.009772,-80.144247,27.2268,-81.8503
6390281,6390002,30.964868,-85.505744,27.2268,-81.8503
6390249,6390002,30.39785,-87.03951,27.2268,-81.8503
6390230,6390002,26.1871,-80.1199,27.2268,-81.8503
6390910,6390002,27.781207,-82.664725,27.2268,-81.8503
6390149,6390002,29.6321,-82.3639,27.2268,-81.8503
6390006,6390002,27.167991,-81.824037,27.2268,-81.8503
6391097,6390002,28.002381,-82.574992,27.2268,-81.8503
6390001,6390002,28.40847,-81.470179,27.2268,-81.8503
6390026,6390002,26.97641,-80.10395,27.2268,-81.8503
6391071,6390002,27.981288,-82.473548,27.2268,-81.8503
6390268,6390002,26.002924,-80.179707,27.2268,-81.8503
6399190,6390002,29.28507,-81.03669,27.2268,-81.8503
6390775,6390002,30.1597,-85.6486,27.2268,-81.8503
6390848,6390002,26.941,-82.0401,27.2268,-81.8503
6390180,6390002,26.1235,-80.2595,27.2268,-81.8503
6390413,6390002,30.51544,-82.95505,27.2268,-81.8503
6390865,6390002,26.9889,-82.0989,27.2268,-81.8503
6390520,6390002,27.889098,-82.787144,27.2268,-81.8503
6390295,6390002,26.0189,-80.1797,27.2268,-81.8503
6390049,6390002,28.597562,-81.328002,27.2268,-81.8503
6390880,6390002,27.2988,-80.27096,27.2268,-81.8503
6390034,6390002,26.014,-80.3097,27.2268,-81.8503
6390422,6390002,30.1838,-85.6582,27.2268,-81.8503
6391025,6390002,25.79825,-80.361272,27.2268,-81.8503
6390205,6390002,26.0816,-80.3638,27.2268,-81.8503
6390330,6390002,30.346712,-81.664613,27.2268,-81.8503
6390572,6390002,25.743091,-80.216387,27.2268,-81.8503
6394015,6390002,26.43923,-80.1272,27.2268,-81.8503
6390560,6390002,25.62887,-80.34399,27.2268,-81.8503
6390705,6390002,28.531765,-81.377671,27.2268,-81.8503
6390847,6390002,29.79684,-85.29908,27.2268,-81.8503
6391102,6390002,27.84586,-82.47105,27.2268,-81.8503
6390086,6390002,28.1092,-80.6742,27.2268,-81.8503
6390498,6390002,30.2899,-83.0036,27.2268,-81.8503
6390995,6390002,29.9421,-82.1023,27.2268,-81.8503
