hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6720800,6720003,32.459504,-93.713727,30.031337,-89.97204
6720109,6720003,30.419939,-91.131476,30.031337,-89.97204
6720825,6720003,32.497454,-93.752133,30.031337,-89.97204
6720179,6720003,30.455662,-90.13326,30.031337,-89.97204
6720470,6720003,32.694087,-92.079305,30.031337,-89.97204
6720335,6720003,30.219825,-92.055271,30.031337,-89.97204
6720250,6720003,30.583981,-90.996054,30.031337,-89.97204
6720014,6720003,30.396006,-91.103753,30.031337,-89.97204
6720110,6720003,30.450201,-91.15371,30.031337,-89.97204
6720138,6720003,32.532659,-93.705469,30.031337,-89.97204
6728025,6720003,30.383531,-91.101819,30.031337,-89.97204
6720004,6720003,30.448143,-91.147731,30.031337,-89.97204
6720014,6720004,30.396006,-91.103753,30.448143,-91.147731
6724000,6720005,30.1813,-93.2499,30.4105,-91.095
6720028,6720005,30.404,-91.1071,30.4105,-91.095
6720031,6720005,30.215599,-93.227579,30.4105,-91.095
6720004,6720005,30.448143,-91.147731,30.4105,-91.095
6720034,6720005,29.92489,-90.09274,30.4105,-91.095
6720038,6720005,29.95775,-89.9644,30.4105,-91.095
6720195,6720005,30.195161,-92.624292,30.4105,-91.095
6720130,6720005,30.778916,-89.867941,30.4105,-91.095
6720083,6720005,29.94215,-90.211981,30.4105,-91.095
6720393,6720005,32.4974,-93.7469,30.4105,-91.095
6720379,6720005,30.184377,-92.091753,30.4105,-91.095
6720865,6720005,30.285676,-89.746481,30.4105,-91.095
6720109,6720005,30.419939,-91.131476,30.4105,-91.095
6720455,6720005,32.57826,-92.07169,30.4105,-91.095
6720381,6720005,30.139361,-93.247693,30.4105,-91.095
6720368,6720005,29.885333,-90.030258,30.4105,-91.095
6720234,6720005,30.176203,-93.22266,30.4105,-91.095
6720144,6720005,30.45167,-93.436952,30.4105,-91.095
6720235,6720005,30.49799,-92.40468,30.4105,-91.095
6720117,6720005,32.458694,-92.115654,30.4105,-91.095
6720013,6720005,32.404145,-93.763448,30.4105,-91.095
6729141,6720005,31.1133,-92.0627,30.4105,-91.095
6720232,6720005,30.157787,-91.991078,30.4105,-91.095
6720057,6720005,30.00727,-92.29661,30.4105,-91.095
6720198,6720005,30.2041,-92.0146,30.4105,-91.095
6720036,6720005,29.93726,-90.10324,30.4105,-91.095
6720137,6720005,30.789636,-89.859747,30.4105,-91.095
6720570,6720005,29.96702,-90.04027,30.4105,-91.095
6720334,6720005,30.192491,-92.075295,30.4105,-91.095
6720207,6720005,30.203803,-93.223021,30.4105,-91.095
6720251,6720005,32.514472,-92.632371,30.4105,-91.095
6720228,6720005,30.174316,-92.02431,30.4105,-91.095
6720162,6720005,29.706987,-91.201034,30.4105,-91.095
6720388,6720005,30.071,-89.9482,30.4105,-91.095
6720078,6720005,32.50013,-92.115,30.4105,-91.095
6720136,6720005,32.4608,-93.6696,30.4105,-91.095
6720624,6720005,30.031466,-89.972135,30.4105,-91.095
6720143,6720005,30.9536,-92.178,30.4105,-91.095
6720114,6720005,30.362059,-89.913733,30.4105,-91.095
6720156,6720005,30.640896,-92.417406,30.4105,-91.095
6720216,6720005,30.514886,-91.116816,30.4105,-91.095
6720022,6720005,32.5028,-93.7399,30.4105,-91.095
6720042,6720005,30.3934,-91.0945,30.4105,-91.095
6720202,6720005,32.472763,-93.770723,30.4105,-91.095
6720256,6720005,32.498182,-93.746143,30.4105,-91.095
6720365,6720005,30.072622,-90.515493,30.4105,-91.095
6720041,6720005,30.2311,-93.3679,30.4105,-91.095
6720113,6720005,32.431811,-93.711997,30.4105,-91.095
6720800,6720005,32.459504,-93.713727,30.4105,-91.095
6720147,6720005,29.8164,-93.1256,30.4105,-91.095
6720353,6720005,30.183411,-93.206424,30.4105,-91.095
6720111,6720005,30.503906,-91.132323,30.4105,-91.095
6720107,6720005,32.477189,-91.764613,30.4105,-91.095
6720061,6720005,29.921311,-90.37396,30.4105,-91.095
6720242,6720005,30.07217,-89.948112,30.4105,-91.095
6720093,6720005,32.8244,-92.65646,30.4105,-91.095
