hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6142130,6140002,42.0273,-71.85107,42.5108,-70.9071
6141500,6140002,42.8144,-70.8909,42.5108,-70.9071
6142180,6140002,42.30137,-71.60839,42.5108,-70.9071
6141255,6140002,42.502076,-70.979452,42.5108,-70.9071
6141670,6140002,42.529212,-70.936806,42.5108,-70.9071
6140024,6140002,42.17179,-71.010186,42.5108,-70.9071
6140021,6140002,41.7398,-70.9456,42.5108,-70.9071
6140784,6140002,42.35896,-71.09355,42.5108,-70.9071
6140017,6140002,42.5643,-70.8759,42.5108,-70.9071
6141705,6140002,42.4596,-73.2492,42.5108,-70.9071
6141040,6140002,41.893415,-70.914424,42.5108,-70.9071
6141080,6140002,42.762673,-71.045324,42.5108,-70.9071
6142150,6140002,42.29595,-71.29927,42.5108,-70.9071
6140786,6140002,42.37198,-71.11857,42.5108,-70.9071
6140022,6140002,41.733,-70.4681,42.5108,-70.9071
6141865,6140002,41.9244,-71.3604,42.5108,-70.9071
6141730,6140002,41.686183,-70.599023,42.5108,-70.9071
6142040,6140002,42.093285,-71.296536,42.5108,-70.9071
6140815,6140002,42.40092,-71.02822,42.5108,-70.9071
6140459,6140002,41.6742,-70.9853,42.5108,-70.9071
6140900,6140002,41.6928,-71.1635,42.5108,-70.9071
6140016,6140002,41.7098,-71.1459,42.5108,-70.9071
6140080,6140002,41.9418,-71.2757,42.5108,-70.9071
6141130,6140002,41.6543,-70.2735,42.5108,-70.9071
6141010,6140002,42.1912,-73.3718,42.5108,-70.9071
6140990,6140002,42.7052,-71.0112,42.5108,-70.9071
6141760,6140002,42.318893,-71.091944,42.5108,-70.9071
6140725,6140002,42.344316,-71.141134,42.5108,-70.9071
6141740,6140002,42.250341,-71.014026,42.5108,-70.9071
6141122,6140002,42.200468,-72.639267,42.5108,-70.9071
6140014,6140002,42.346841,-71.141367,42.5108,-70.9071
6140840,6140002,42.426864,-71.693542,42.5108,-70.9071
6140219,6140002,41.6885,-70.602,42.5108,-70.9071
6141560,6140002,42.705764,-73.108606,42.5108,-70.9071
6140040,6140002,42.647147,-71.133938,42.5108,-70.9071
6141990,6140002,42.2831,-73.3133,42.5108,-70.9071
6140006,6140002,42.645758,-71.299964,42.5108,-70.9071
6142240,6140002,42.208398,-71.22394,42.5108,-70.9071
6142100,6140002,42.2537,-72.2424,42.5108,-70.9071
6140050,6140002,42.42246,-71.164747,42.5108,-70.9071
6142000,6140002,41.9065,-71.0956,42.5108,-70.9071
6142010,6140002,41.9059,-71.1018,42.5108,-70.9071
6141355,6140002,42.7275,-71.168,42.5108,-70.9071
6141640,6140002,41.4607,-70.5798,42.5108,-70.9071
6141320,6140002,42.20371,-71.324675,42.5108,-70.9071
6141880,6140002,42.1727,-71.01089,42.5108,-70.9071
6140028,6140002,42.200027,-71.898867,42.5108,-70.9071
6141800,6140002,42.509626,-70.901487,42.5108,-70.9071
6140892,6140002,41.7076,-71.1459,42.5108,-70.9071
6149180,6140002,42.284889,-71.289114,42.5108,-70.9071
6141200,6140002,42.646639,-71.340579,42.5108,-70.9071
6140417,6140002,42.7786,-71.0729,42.5108,-70.9071
6142090,6140002,42.368804,-71.24891,42.5108,-70.9071
6140034,6140002,42.64284,-71.33494,42.5108,-70.9071
6140923,6140002,41.5642,-70.6222,42.5108,-70.9071
6140840,6140004,42.426864,-71.693542,42.1555,-72.472
6140784,6140004,42.35896,-71.09355,42.1555,-72.472
6142240,6140004,42.208398,-71.22394,42.1555,-72.472
6141880,6140004,42.1727,-71.01089,42.1555,-72.472
6140923,6140004,41.5642,-70.6222,42.1555,-72.472
6141950,6140004,42.1214,-72.5924,42.1555,-72.472
6140040,6140004,42.647147,-71.133938,42.1555,-72.472
6140050,6140004,42.42246,-71.164747,42.1555,-72.472
6141955,6140004,42.1216,-72.6037,42.1555,-72.472
6141660,6140004,42.1694,-72.3417,42.1555,-72.472
6141122,6140004,42.200468,-72.639267,42.1555,-72.472
6141040,6140004,41.893415,-70.914424,42.1555,-72.472
6141760,6140004,42.318893,-71.091944,42.1555,-72.472
6141800,6140004,42.509626,-70.901487,42.1555,-72.472
