hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6440019,6440001,43.6021,-83.9237,42.2983,-84.3877
6441320,6440001,42.6447,-85.3028,42.2983,-84.3877
6440640,6440001,42.350879,-83.057722,42.2983,-84.3877
6441290,6440001,47.1413,-88.5858,42.2983,-84.3877
6441100,6440001,43.9763,-84.4954,42.2983,-84.3877
6442035,6440001,45.3741,-84.9698,42.2983,-84.3877
6441585,6440001,46.7319,-88.4246,42.2983,-84.3877
6441990,6440001,43.9819,-83.9688,42.2983,-84.3877
6442070,6440001,42.446313,-85.652666,42.2983,-84.3877
6442484,6440001,42.507026,-83.004283,42.2983,-84.3877
6441450,6440001,46.4783,-90.1057,42.2983,-84.3877
6441350,6440001,41.9119,-84.6329,42.2983,-84.3877
6440185,6440001,42.3245,-85.2977,42.2983,-84.3877
6441250,6440001,43.175457,-85.268759,42.2983,-84.3877
6441038,6440001,43.0142,-83.7326,42.2983,-84.3877
6441295,6440001,43.8425,-82.6519,42.2983,-84.3877
6440670,6440001,42.441405,-83.019282,42.2983,-84.3877
6442462,6440001,42.148497,-83.17546,42.2983,-84.3877
6440031,6440001,42.9883,-83.7182,42.2983,-84.3877
6441595,6440001,42.734,-84.5352,42.2983,-84.3877
6440048,6440001,42.490164,-83.518147,42.2983,-84.3877
6440330,6440001,45.633066,-84.482818,42.2983,-84.3877
6440046,6440001,42.3314,-85.1784,42.2983,-84.3877
6441070,6440001,44.6365,-86.2424,42.2983,-84.3877
6440230,6440001,41.954987,-86.311545,42.2983,-84.3877
6441675,6440001,42.51762,-83.1195,42.2983,-84.3877
6441240,6440001,44.6676,-84.708,42.2983,-84.3877
6440930,6440001,41.9833,-86.1151,42.2983,-84.3877
6441580,6440001,42.781727,-86.117086,42.2983,-84.3877
6440022,6440001,42.418783,-82.914947,42.2983,-84.3877
6442395,6440001,44.2753,-83.5095,42.2983,-84.3877
6440360,6440001,41.9382,-84.9894,42.2983,-84.3877
6441945,6440001,42.423791,-83.449724,42.2983,-84.3877
6440015,6440001,46.0997,-88.6192,42.2983,-84.3877
6440040,6440001,43.3907,-84.6631,42.2983,-84.3877
6440215,6440001,42.0886,-86.4783,42.2983,-84.3877
6440570,6440001,42.432475,-83.014392,42.2983,-84.3877
6441935,6440001,45.1272,-85.62046,42.2983,-84.3877
6440175,6440001,42.339344,-85.17544,42.2983,-84.3877
6442310,6440001,42.9932,-84.5547,42.2983,-84.3877
6442489,6440001,42.478342,-82.988963,42.2983,-84.3877
6440525,6440001,42.34978,-82.9974,42.2983,-84.3877
6440030,6440001,42.5196,-85.8564,42.2983,-84.3877
6442330,6440001,46.4981,-84.3501,42.2983,-84.3877
6440320,6440001,42.5655,-84.8319,42.2983,-84.3877
6441660,6440001,47.2385,-88.4433,42.2983,-84.3877
6440009,6440001,42.7037,-84.5551,42.2983,-84.3877
6440034,6440001,42.303941,-85.17116,42.2983,-84.3877
6440045,6440001,42.419944,-83.182545,42.2983,-84.3877
