hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6221640,6220001,40.9813,-74.1724,40.6598,-74.214
6221480,6220001,40.2166,-74.7413,40.6598,-74.214
6220024,6220001,40.8977,-74.0741,40.6598,-74.214
6220005,6220001,40.207717,-74.038102,40.6598,-74.214
6220021,6220001,40.8849,-74.576,40.6598,-74.214
6220023,6220001,39.4451,-75.0525,40.6598,-74.214
6221135,6220001,40.712,-74.6404,40.6598,-74.214
6220217,6220001,39.0875,-74.8168,40.6598,-74.214
6220547,6220001,40.0463,-74.8806,40.6598,-74.214
6221385,6220001,39.9626,-74.2176,40.6598,-74.214
6221230,6220001,40.9561,-74.063,40.6598,-74.214
6220022,6220001,40.5188,-74.2819,40.6598,-74.214
6221450,6220001,40.2372,-74.8031,40.6598,-74.214
6220760,6220001,40.77293,-74.187,40.6598,-74.214
6229151,6220001,40.6598,-74.214,40.6598,-74.214
6221250,6220001,40.0079,-74.8464,40.6598,-74.214
6220028,6220001,40.612918,-74.291056,40.6598,-74.214
6221630,6220001,39.844,-75.15,40.6598,-74.214
6220535,6220001,39.997893,-74.37431,40.6598,-74.214
6220200,6220001,39.9279,-75.0947,40.6598,-74.214
6221140,6220001,40.5188,-74.2819,40.6598,-74.214
6220475,6220001,40.7831,-74.0588,40.6598,-74.214
6221345,6220001,39.8283,-75.0083,40.6598,-74.214
6221330,6220001,39.3145,-74.5923,40.6598,-74.214
6221210,6220001,40.6131,-74.2909,40.6598,-74.214
6220375,6220001,39.6823,-74.8605,40.6598,-74.214
6221600,6220001,39.8421,-74.9271,40.6598,-74.214
6220025,6220001,40.295328,-73.983798,40.6598,-74.214
6220650,6220001,40.8101,-74.2056,40.6598,-74.214
6220019,6220001,39.8827,-74.9181,40.6598,-74.214
6220340,6220001,40.8839,-74.0556,40.6598,-74.214
6220350,6220001,40.8389,-74.5103,40.6598,-74.214
6220105,6220001,40.8952,-74.4654,40.6598,-74.214
6221490,6220001,40.2161,-74.6721,40.6598,-74.214
6221165,6220001,40.5256,-74.4706,40.6598,-74.214
6220800,6220001,40.7635,-74.3049,40.6598,-74.214
6220920,6220001,40.4953,-74.4498,40.6598,-74.214
6220233,6220001,40.012,-74.2147,40.6598,-74.214
6220520,6220001,39.788372,-75.073969,40.6598,-74.214
6220395,6220001,40.4053,-74.1917,40.6598,-74.214
6220070,6220001,40.6674,-74.112,40.6598,-74.214
6220472,6220001,39.7896,-75.0736,40.6598,-74.214
6220247,6220001,40.5568,-74.3508,40.6598,-74.214
6220761,6220001,39.783208,-74.919241,40.6598,-74.214
6221350,6220001,40.475283,-74.286564,40.6598,-74.214
6221270,6220001,40.667818,-74.4238,40.6598,-74.214
6220322,6220001,40.2368,-74.3131,40.6598,-74.214
6220400,6220001,40.71795,-74.24231,40.6598,-74.214
6220740,6220001,40.2075,-74.0408,40.6598,-74.214
6221430,6220001,40.2946,-74.8076,40.6598,-74.214
6220490,6220001,40.713656,-74.051548,40.6598,-74.214
6221360,6220001,40.7141,-74.3626,40.6598,-74.214
6220510,6220001,40.758338,-74.149287,40.6598,-74.214
6221110,6220001,40.94556,-74.20501,40.6598,-74.214
6220680,6220001,40.7895,-74.4656,40.6598,-74.214
6220002,6220001,40.695683,-74.916994,40.6598,-74.214
6220280,6220001,40.9042,-73.9687,40.6598,-74.214
6221370,6220001,40.7129,-74.3526,40.6598,-74.214
6220160,6220001,39.9775,-74.5852,40.6598,-74.214
6221170,6220001,40.0772,-74.131,40.6598,-74.214
6220090,6220001,40.4673,-74.6824,40.6598,-74.214
6220542,6220001,40.2883,-74.7356,40.6598,-74.214
6220190,6220001,39.9416,-75.1169,40.6598,-74.214
6220234,6220001,40.0484,-74.8841,40.6598,-74.214
6220237,6220001,39.3585,-74.4342,40.6598,-74.214
6220004,6220001,40.79095,-74.417821,40.6598,-74.214
6221120,6220001,40.9023,-74.1661,40.6598,-74.214
6221017,6220001,40.767812,-74.234961,40.6598,-74.214
6220560,6220001,40.2951,-73.9856,40.6598,-74.214
6220425,6220001,40.7938,-73.9964,40.6598,-74.214
6221220,6220001,40.3539,-74.0632,40.6598,-74.214
6221175,6220001,40.9577,-74.3085,40.6598,-74.214
6220014,6220001,40.2827,-74.0797,40.6598,-74.214
6220758,6220001,40.7858,-74.1764,40.6598,-74.214
6221610,6220001,40.4948,-74.4517,40.6598,-74.214
6220026,6220001,39.8827,-74.9181,40.6598,-74.214
6220125,6220001,39.4453,-75.0583,40.6598,-74.214
6220029,6220001,40.946908,-74.206035,40.6598,-74.214
6220210,6220001,39.929286,-75.109844,40.6598,-74.214
6220915,6220001,40.5568,-74.3508,40.6598,-74.214
6220240,6220001,40.7547,-74.2137,40.6598,-74.214
6221528,6220001,40.67481,-74.26426,40.6598,-74.214
6220540,6220001,40.073,-74.2187,40.6598,-74.214
6221618,6220001,40.9857,-74.0155,40.6598,-74.214
6221190,6220001,40.3398,-74.624,40.6598,-74.214
6220420,6220001,40.7346,-74.0503,40.6598,-74.214
6220585,6220001,39.7211,-74.2853,40.6598,-74.214
6220232,6220001,40.0772,-74.131,40.6598,-74.214
6221090,6220001,40.91824,-74.14444,40.6598,-74.214
6220275,6220001,39.5879,-75.1803,40.6598,-74.214
6221390,6220001,40.8831,-74.0107,40.6598,-74.214
6221160,6220001,40.60712,-74.4056,40.6598,-74.214
6221340,6220001,40.568,-74.5949,40.6598,-74.214
6220031,6220001,40.073,-74.2187,40.6598,-74.214
6221260,6220001,39.594,-75.4445,40.6598,-74.214
6221500,6220001,40.2361,-74.7519,40.6598,-74.214
6220469,6220001,40.6651,-74.4218,40.6598,-74.214
6220295,6220001,40.5314,-74.861,40.6598,-74.214
6220730,6220001,39.9861,-74.7949,40.6598,-74.214
6220270,6220001,40.659403,-74.214718,40.6598,-74.214
6221395,6220001,39.9643,-74.2157,40.6598,-74.214
6221070,6220001,40.8591,-74.1373,40.6598,-74.214
6221235,6220001,40.9836,-74.1007,40.6598,-74.214
6220890,6220001,40.7439,-74.1744,40.6598,-74.214
6220020,6220001,40.4494,-74.6486,40.6598,-74.214
6221315,6220001,40.7919,-74.0733,40.6598,-74.214
6220990,6220001,41.0576,-74.7684,40.6598,-74.214
6220440,6220001,40.70262,-74.09146,40.6598,-74.214
6220880,6220001,40.72779,-74.16316,40.6598,-74.214
6220008,6220001,40.73699,-74.16925,40.6598,-74.214
6220435,6220001,40.7163,-74.0503,40.6598,-74.214
6220820,6220001,40.7094,-74.2125,40.6598,-74.214
6220785,6220001,40.7406,-74.1911,40.6598,-74.214
6220373,6220001,39.63186,-74.77134,40.6598,-74.214
6229075,6220001,39.4788,-74.5397,40.6598,-74.214
6220006,6220001,40.7527,-74.2361,40.6598,-74.214
6220478,6220001,40.9857,-74.0155,40.6598,-74.214
6220600,6220001,39.8821,-74.9183,40.6598,-74.214
6220253,6220001,40.7857,-74.2772,40.6598,-74.214
6220040,6220001,39.3585,-74.4342,40.6598,-74.214
6220448,6220001,40.7726,-74.1867,40.6598,-74.214
6221636,6220001,40.5548,-74.2872,40.6598,-74.214
6220220,6220001,40.8519,-74.2341,40.6598,-74.214
6220950,6220001,40.5015,-74.4595,40.6598,-74.214
6221050,6220001,40.86955,-74.1212,40.6598,-74.214
6220390,6220001,40.7411,-74.0341,40.6598,-74.214
6221090,6220002,40.91824,-74.14444,40.695683,-74.916994
6221350,6220002,40.475283,-74.286564,40.695683,-74.916994
6220400,6220002,40.71795,-74.24231,40.695683,-74.916994
6220535,6220002,39.997893,-74.37431,40.695683,-74.916994
6220005,6220002,40.207717,-74.038102,40.695683,-74.916994
6221017,6220002,40.767812,-74.234961,40.695683,-74.916994
6221050,6220002,40.86955,-74.1212,40.695683,-74.916994
6220028,6220002,40.612918,-74.291056,40.695683,-74.916994
6221160,6220002,40.60712,-74.4056,40.695683,-74.916994
6220004,6220002,40.79095,-74.417821,40.695683,-74.916994
6220210,6220002,39.929286,-75.109844,40.695683,-74.916994
6220270,6220002,40.659403,-74.214718,40.695683,-74.916994
6220490,6220002,40.713656,-74.051548,40.695683,-74.916994
6220373,6220002,39.63186,-74.77134,40.695683,-74.916994
6220029,6220002,40.946908,-74.206035,40.695683,-74.916994
6221110,6220002,40.94556,-74.20501,40.695683,-74.916994
6220440,6220002,40.70262,-74.09146,40.695683,-74.916994
6221528,6220002,40.67481,-74.26426,40.695683,-74.916994
6220510,6220002,40.758338,-74.149287,40.695683,-74.916994
6220760,6220002,40.77293,-74.187,40.695683,-74.916994
6220008,6220002,40.73699,-74.16925,40.695683,-74.916994
6220880,6220002,40.72779,-74.16316,40.695683,-74.916994
6221350,6220004,40.475283,-74.286564,40.79095,-74.417821
6220510,6220004,40.758338,-74.149287,40.79095,-74.417821
6221017,6220004,40.767812,-74.234961,40.79095,-74.417821
6220490,6220004,40.713656,-74.051548,40.79095,-74.417821
6220005,6220004,40.207717,-74.038102,40.79095,-74.417821
6220270,6220004,40.659403,-74.214718,40.79095,-74.417821
6220210,6220004,39.929286,-75.109844,40.79095,-74.417821
6220535,6220004,39.997893,-74.37431,40.79095,-74.417821
6220210,6220005,39.929286,-75.109844,40.207717,-74.038102
6221350,6220005,40.475283,-74.286564,40.207717,-74.038102
6220270,6220005,40.659403,-74.214718,40.207717,-74.038102
6220490,6220005,40.713656,-74.051548,40.207717,-74.038102
6220535,6220005,39.997893,-74.37431,40.207717,-74.038102
6220440,6220006,40.70262,-74.09146,40.7527,-74.2361
6220020,6220006,40.4494,-74.6486,40.7527,-74.2361
6220478,6220006,40.9857,-74.0155,40.7527,-74.2361
6221390,6220006,40.8831,-74.0107,40.7527,-74.2361
6220220,6220006,40.8519,-74.2341,40.7527,-74.2361
6220448,6220006,40.7726,-74.1867,40.7527,-74.2361
6221250,6220006,40.0079,-74.8464,40.7527,-74.2361
6220022,6220006,40.5188,-74.2819,40.7527,-74.2361
6220761,6220006,39.783208,-74.919241,40.7527,-74.2361
6220890,6220006,40.7439,-74.1744,40.7527,-74.2361
6220160,6220006,39.9775,-74.5852,40.7527,-74.2361
6220025,6220006,40.295328,-73.983798,40.7527,-74.2361
6220510,6220006,40.758338,-74.149287,40.7527,-74.2361
6221110,6220006,40.94556,-74.20501,40.7527,-74.2361
6220240,6220006,40.7547,-74.2137,40.7527,-74.2361
6220375,6220006,39.6823,-74.8605,40.7527,-74.2361
6220490,6220006,40.713656,-74.051548,40.7527,-74.2361
6220040,6220006,39.3585,-74.4342,40.7527,-74.2361
6220190,6220006,39.9416,-75.1169,40.7527,-74.2361
6220217,6220006,39.0875,-74.8168,40.7527,-74.2361
6221350,6220006,40.475283,-74.286564,40.7527,-74.2361
6220210,6220006,39.929286,-75.109844,40.7527,-74.2361
6221050,6220006,40.86955,-74.1212,40.7527,-74.2361
6220234,6220006,40.0484,-74.8841,40.7527,-74.2361
6220024,6220006,40.8977,-74.0741,40.7527,-74.2361
6221270,6220006,40.667818,-74.4238,40.7527,-74.2361
6220253,6220006,40.7857,-74.2772,40.7527,-74.2361
6220028,6220006,40.612918,-74.291056,40.7527,-74.2361
6220600,6220006,39.8821,-74.9183,40.7527,-74.2361
6220005,6220006,40.207717,-74.038102,40.7527,-74.2361
6220472,6220006,39.7896,-75.0736,40.7527,-74.2361
6221235,6220006,40.9836,-74.1007,40.7527,-74.2361
6220237,6220006,39.3585,-74.4342,40.7527,-74.2361
