hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6880038,6880001,36.0803,-115.292,36.1567,-115.194
6880032,6880001,36.0573,-115.272,36.1567,-115.194
6880013,6880001,36.0727,-115.295,36.1567,-115.194
6880440,6880001,36.0788,-115.281,36.1567,-115.194
6880017,6880001,36.1166,-115.11,36.1567,-115.194
6880079,6880001,36.1118,-115.222,36.1567,-115.194
6880010,6880001,35.9674,-114.843,36.1567,-115.194
6880019,6880001,36.2055,-115.25,36.1567,-115.194
6880024,6880001,36.238144,-115.23126,36.1567,-115.194
6880021,6880001,39.174073,-119.75805,36.1567,-115.194
6880400,6880001,35.9963,-115.12,36.1567,-115.194
6880035,6880001,39.199596,-119.7803,36.1567,-115.194
6880034,6880001,36.136498,-115.13461,36.1567,-115.194
6880042,6880001,36.1218885,-115.22306,36.1567,-115.194
6880080,6880001,41.97608,-116.11904,36.1567,-115.194
6880006,6880001,36.181,-115.317,36.1567,-115.194
6880063,6880001,36.2461,-115.049,36.1567,-115.194
6880050,6880001,39.4765,-118.766,36.1567,-115.194
6889060,6880001,36.195,-115.123,36.1567,-115.194
6880029,6880001,36.8098,-114.116,36.1567,-115.194
6880016,6880001,36.001,-115.121,36.1567,-115.194
6889100,6880001,38.06246,-117.22212,36.1567,-115.194
6889102,6880001,36.1305,-115.138,36.1567,-115.194
6880073,6880001,36.1633,-115.167,36.1567,-115.194
6880060,6880001,36.0387,-114.984,36.1567,-115.194
6880026,6880001,36.1263,-115.246,36.1567,-115.194
6880007,6880001,36.2156,-115.249,36.1567,-115.194
6880068,6880001,36.125892,-115.2444,36.1567,-115.194
6880071,6880001,36.1597,-115.168,36.1567,-115.194
6880023,6880001,36.1577,-115.228,36.1567,-115.194
6880028,6880001,36.019515,-115.13423,36.1567,-115.194
6880015,6880001,36.1631,-115.163,36.1567,-115.194
6880400,6880002,35.9963,-115.12,39.524,-119.792
6880005,6880002,39.541,-119.697,39.524,-119.792
6880034,6880002,36.136498,-115.13461,39.524,-119.792
6880039,6880002,36.2868,-115.286,39.524,-119.792
6880440,6880002,36.0788,-115.281,39.524,-119.792
6889100,6880002,38.06246,-117.22212,39.524,-119.792
6880038,6880002,36.0803,-115.292,39.524,-119.792
6880072,6880002,40.1761,-118.482,39.524,-119.792
6880021,6880002,39.174073,-119.75805,39.524,-119.792
6880026,6880002,36.1263,-115.246,39.524,-119.792
6880014,6880002,36.0901,-115.241,39.524,-119.792
6880028,6880002,36.019515,-115.13423,39.524,-119.792
6880055,6880002,38.5182,-118.628,39.524,-119.792
6880100,6880002,39.5307,-119.78,39.524,-119.792
6880125,6880002,39.541,-119.697,39.524,-119.792
6880015,6880002,36.1631,-115.163,39.524,-119.792
6880060,6880002,36.0387,-114.984,39.524,-119.792
6880050,6880002,39.4765,-118.766,39.524,-119.792
6880200,6880002,39.2515,-119.954,39.524,-119.792
6880031,6880002,39.436,-119.76,39.524,-119.792
6880110,6880002,39.5325,-119.819,39.524,-119.792
6880022,6880002,36.1579,-115.228,39.524,-119.792
6880023,6880002,36.1577,-115.228,39.524,-119.792
6880008,6880002,36.0046,-115.115,39.524,-119.792
6880016,6880002,36.001,-115.121,39.524,-119.792
6880435,6880002,36.0729,-115.031,39.524,-119.792
6880037,6880002,36.2146,-116.025,39.524,-119.792
6880004,6880002,37.6227,-114.512,39.524,-119.792
6880019,6880002,36.2055,-115.25,39.524,-119.792
6880024,6880002,36.238144,-115.23126,39.524,-119.792
6880018,6880002,36.1079,-115.123,39.524,-119.792
6880017,6880002,36.1166,-115.11,39.524,-119.792
6880071,6880002,36.1597,-115.168,39.524,-119.792
6880027,6880002,38.9188,-119.72,39.524,-119.792
6880001,6880002,36.1567,-115.194,39.524,-119.792
6889010,6880002,40.6422,-116.937,39.524,-119.792
6880010,6880002,35.9674,-114.843,39.524,-119.792
6880003,6880002,36.0387,-114.984,39.524,-119.792
6880115,6880002,39.5379,-119.797,39.524,-119.792
6880063,6880002,36.2461,-115.049,39.524,-119.792
6880155,6880002,38.9842,-119.167,39.524,-119.792
6880075,6880002,36.1129,-115.125,39.524,-119.792
6889060,6880002,36.195,-115.123,39.524,-119.792
6880006,6880002,36.181,-115.317,39.524,-119.792
6880029,6880002,36.8098,-114.116,39.524,-119.792
6880068,6880002,36.125892,-115.2444,39.524,-119.792
6880042,6880002,36.1218885,-115.22306,39.524,-119.792
6880079,6880002,36.1118,-115.222,39.524,-119.792
6880085,6880002,36.285,-115.094,39.524,-119.792
6880150,6880002,40.9712,-117.727,39.524,-119.792
6880080,6880002,41.97608,-116.11904,39.524,-119.792
6880040,6880002,40.8227,-115.731,39.524,-119.792
6880035,6880002,39.199596,-119.7803,39.524,-119.792
6880145,6880002,39.5018,-119.757,39.524,-119.792
6880069,6880002,36.1332,-115.136,39.524,-119.792
6880073,6880002,36.1633,-115.167,39.524,-119.792
6880013,6880002,36.0727,-115.295,39.524,-119.792
6880032,6880002,36.0573,-115.272,39.524,-119.792
6880007,6880002,36.2156,-115.249,39.524,-119.792
6889102,6880002,36.1305,-115.138,39.524,-119.792
6880041,6880002,36.146,-115.216,39.524,-119.792
6880120,6880002,39.516,-119.799,39.524,-119.792
6889100,6880003,38.06246,-117.22212,36.0387,-114.984
6880079,6880003,36.1118,-115.222,36.0387,-114.984
6880010,6880003,35.9674,-114.843,36.0387,-114.984
6880063,6880003,36.2461,-115.049,36.0387,-114.984
6880060,6880003,36.0387,-114.984,36.0387,-114.984
6880075,6880003,36.1129,-115.125,36.0387,-114.984
6880038,6880003,36.0803,-115.292,36.0387,-114.984
6880026,6880003,36.1263,-115.246,36.0387,-114.984
6880023,6880003,36.1577,-115.228,36.0387,-114.984
6880013,6880003,36.0727,-115.295,36.0387,-114.984
6880042,6880003,36.1218885,-115.22306,36.0387,-114.984
6880016,6880003,36.001,-115.121,36.0387,-114.984
6880435,6880003,36.0729,-115.031,36.0387,-114.984
6880014,6880003,36.0901,-115.241,36.0387,-114.984
6880007,6880003,36.2156,-115.249,36.0387,-114.984
6880041,6880003,36.146,-115.216,36.0387,-114.984
6880068,6880003,36.125892,-115.2444,36.0387,-114.984
6880032,6880003,36.0573,-115.272,36.0387,-114.984
6880035,6880003,39.199596,-119.7803,36.0387,-114.984
6880028,6880003,36.019515,-115.13423,36.0387,-114.984
6880400,6880003,35.9963,-115.12,36.0387,-114.984
6880034,6880003,36.136498,-115.13461,36.0387,-114.984
6880006,6880003,36.181,-115.317,36.0387,-114.984
6880069,6880003,36.1332,-115.136,36.0387,-114.984
6889102,6880003,36.1305,-115.138,36.0387,-114.984
6880015,6880003,36.1631,-115.163,36.0387,-114.984
6880039,6880003,36.2868,-115.286,36.0387,-114.984
6880019,6880003,36.2055,-115.25,36.0387,-114.984
6880001,6880003,36.1567,-115.194,36.0387,-114.984
6880008,6880003,36.0046,-115.115,36.0387,-114.984
6880440,6880003,36.0788,-115.281,36.0387,-114.984
6880080,6880003,41.97608,-116.11904,36.0387,-114.984
6880073,6880003,36.1633,-115.167,36.0387,-114.984
6880018,6880003,36.1079,-115.123,36.0387,-114.984
6880021,6880003,39.174073,-119.75805,36.0387,-114.984
6880029,6880003,36.8098,-114.116,36.0387,-114.984
6889060,6880003,36.195,-115.123,36.0387,-114.984
6880024,6880003,36.238144,-115.23126,36.0387,-114.984
6880071,6880003,36.1597,-115.168,36.0387,-114.984
6880050,6880003,39.4765,-118.766,36.0387,-114.984
6880085,6880003,36.285,-115.094,36.0387,-114.984
6880017,6880003,36.1166,-115.11,36.0387,-114.984
6880003,6880004,36.0387,-114.984,37.6227,-114.512
6880027,6880004,38.9188,-119.72,37.6227,-114.512
6880400,6880004,35.9963,-115.12,37.6227,-114.512
6880013,6880004,36.0727,-115.295,37.6227,-114.512
6880035,6880004,39.199596,-119.7803,37.6227,-114.512
6880010,6880004,35.9674,-114.843,37.6227,-114.512
6880040,6880004,40.8227,-115.731,37.6227,-114.512
6880150,6880004,40.9712,-117.727,37.6227,-114.512
6880075,6880004,36.1129,-115.125,37.6227,-114.512
6880024,6880004,36.238144,-115.23126,37.6227,-114.512
6880034,6880004,36.136498,-115.13461,37.6227,-114.512
6880028,6880004,36.019515,-115.13423,37.6227,-114.512
6880085,6880004,36.285,-115.094,37.6227,-114.512
6880080,6880004,41.97608,-116.11904,37.6227,-114.512
6880017,6880004,36.1166,-115.11,37.6227,-114.512
6880029,6880004,36.8098,-114.116,37.6227,-114.512
6880001,6880004,36.1567,-115.194,37.6227,-114.512
6880041,6880004,36.146,-115.216,37.6227,-114.512
6889060,6880004,36.195,-115.123,37.6227,-114.512
6880063,6880004,36.2461,-115.049,37.6227,-114.512
6880071,6880004,36.1597,-115.168,37.6227,-114.512
