hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6210970,6210001,40.7043,-73.9181,42.696,-74.9232
6212910,6210001,40.7629,-73.9558,42.696,-74.9232
6213070,6210001,40.7852,-73.945,42.696,-74.9232
6212905,6210001,40.76428,-73.98899,42.696,-74.9232
6210071,6210001,42.6541,-73.7797,42.696,-74.9232
6210395,6210001,40.8804,-73.8809,42.696,-74.9232
6212890,6210001,40.73393,-73.98373,42.696,-74.9232
6210037,6210001,41.5035,-74.0146,42.696,-74.9232
6213470,6210001,40.73685,-73.99975,42.696,-74.9232
6211650,6210001,42.8765,-76.9883,42.696,-74.9232
6210397,6210001,40.840504,-73.8483,42.696,-74.9232
6210870,6210001,40.654639,-73.944364,42.696,-74.9232
6214678,6210001,40.60405,-74.09109,42.696,-74.9232
6212815,6210001,40.7697,-73.9531,42.696,-74.9232
6210930,6210001,40.609511,-74.025297,42.696,-74.9232
6214330,6210001,43.1231,-77.625,42.696,-74.9232
6214340,6210001,40.595113,-73.7821,42.696,-74.9232
6210021,6210001,41.4035,-74.3927,42.696,-74.9232
6212700,6210001,40.8547,-73.8464,42.696,-74.9232
6210570,6210001,40.5855,-73.9656,42.696,-74.9232
6210170,6210001,42.9546,-74.2167,42.696,-74.9232
6211660,6210001,40.8708,-73.6224,42.696,-74.9232
6211510,6210001,42.1003,-76.8281,42.696,-74.9232
6210007,6210001,44.3455,-74.1435,42.696,-74.9232
6211775,6210001,42.8133,-75.5432,42.696,-74.9232
6213190,6210001,40.7319,-73.9846,42.696,-74.9232
6210720,6210001,40.690907,-73.997726,42.696,-74.9232
6214140,6210001,41.6938,-73.9358,42.696,-74.9232
6210740,6210001,40.6139,-73.9486,42.696,-74.9232
6214870,6210001,43.0557,-76.1498,42.696,-74.9232
6211540,6210001,42.0921,-76.7972,42.696,-74.9232
6214240,6210001,43.1353,-77.6058,42.696,-74.9232
6211700,6210001,41.389245,-74.320446,42.696,-74.9232
6213977,6210001,40.7751,-73.4787,42.696,-74.9232
6211025,6210001,42.9007,-78.8657,42.696,-74.9232
6213140,6210001,40.79,-73.9537,42.696,-74.9232
6214640,6210001,40.885681,-72.380654,42.696,-74.9232
6213710,6210001,42.5412,-75.5258,42.696,-74.9232
6214410,6210001,40.8043,-73.6705,42.696,-74.9232
6212830,6210001,40.8141,-73.9398,42.696,-74.9232
6213670,6210001,43.0939,-79.0496,42.696,-74.9232
6213335,6210001,40.8056,-73.9613,42.696,-74.9232
6210511,6210001,40.8017,-73.9311,42.696,-74.9232
6214788,6210001,40.810297,-73.508918,42.696,-74.9232
6210070,6210001,42.6558,-73.8037,42.696,-74.9232
6210230,6210001,42.997562,-78.182198,42.696,-74.9232
6210009,6210001,42.0897,-78.4279,42.696,-74.9232
6210295,6210001,41.717328,-73.929309,42.696,-74.9232
6214950,6210001,43.849379,-73.435664,42.696,-74.9232
6210747,6210001,40.6395,-73.9984,42.696,-74.9232
6210010,6210001,42.654399,-73.773199,42.696,-74.9232
6212357,6210001,40.7776,-73.7017,42.696,-74.9232
6213100,6210001,40.8808,-73.8795,42.696,-74.9232
6215155,6210001,40.681707,-73.685902,42.696,-74.9232
6212410,6210001,41.443055,-74.41076,42.696,-74.9232
6211810,6210001,40.7262,-73.5537,42.696,-74.9232
6213060,6210001,40.7641,-73.956,42.696,-74.9232
6214900,6210001,43.0455,-76.1397,42.696,-74.9232
6214885,6210001,43.0438,-76.1414,42.696,-74.9232
6210266,6210001,40.7936,-73.9506,42.696,-74.9232
6211470,6210001,42.4813,-79.3342,42.696,-74.9232
6214360,6210001,40.6859,-73.6335,42.696,-74.9232
6210030,6210001,42.6532,-73.7764,42.696,-74.9232
6210013,6210001,43.0967,-75.2761,42.696,-74.9232
6211000,6210001,42.9285,-78.8486,42.696,-74.9232
6211160,6210001,43.023085,-73.391393,42.696,-74.9232
6213585,6210001,40.639727,-73.9564,42.696,-74.9232
6211135,6210001,42.91407,-78.7843,42.696,-74.9232
6210770,6210001,40.646562,-74.020563,42.696,-74.9232
6214805,6210001,43.008359,-76.170071,42.696,-74.9232
6210990,6210001,42.8839,-78.868161,42.696,-74.9232
6210061,6210001,42.772767,-73.725286,42.696,-74.9232
6211225,6210001,42.2459,-73.7771,42.696,-74.9232
6211490,6210001,44.2158,-73.5959,42.696,-74.9232
6211070,6210001,42.9254,-78.8313,42.696,-74.9232
6210555,6210001,40.668,-73.9794,42.696,-74.9232
6210060,6210001,40.674684,-73.921374,42.696,-74.9232
6215165,6210001,42.1645,-75.1286,42.696,-74.9232
6215210,6210001,43.9652,-75.9142,42.696,-74.9232
6212720,6210001,40.73576,-73.98453,42.696,-74.9232
6212105,6210001,42.9777,-78.8799,42.696,-74.9232
6211616,6210001,40.72318,-73.839,42.696,-74.9232
6211614,6210001,40.728656,-73.85162,42.696,-74.9232
6210034,6210001,40.8539,-73.8904,42.696,-74.9232
6212350,6210001,44.8569,-74.292,42.696,-74.9232
6210180,6210001,42.9414,-76.5647,42.696,-74.9232
6210020,6210001,42.743546,-73.6758,42.696,-74.9232
6210290,6210001,41.480567,-73.972187,42.696,-74.9232
6211530,6210001,42.0911,-76.7952,42.696,-74.9232
6211430,6210001,42.5522,-77.6983,42.696,-74.9232
6210160,6210001,42.95901,-74.18812,42.696,-74.9232
6212390,6210001,43.2235,-78.3976,42.696,-74.9232
6211450,6210001,42.2683,-74.9201,42.696,-74.9232
6210240,6210001,43.0134,-78.1977,42.696,-74.9232
6212430,6210001,41.45154,-74.44369,42.696,-74.9232
6215280,6210001,42.3288,-79.5699,42.696,-74.9232
6212121,6210001,40.80432,-73.94129,42.696,-74.9232
6212365,6210001,43.1673,-75.3022,42.696,-74.9232
6211630,6210001,43.31457,-76.40555,42.696,-74.9232
6215305,6210001,42.8203,-78.7337,42.696,-74.9232
6210033,6210001,43.0043,-78.1786,42.696,-74.9232
6210036,6210001,40.803,-73.9412,42.696,-74.9232
6214010,6210001,41.160849,-74.039179,42.696,-74.9232
6211145,6210001,42.9513,-78.8122,42.696,-74.9232
6211205,6210001,43.987,-75.5941,42.696,-74.9232
6212630,6210001,40.7392,-73.9755,42.696,-74.9232
6210003,6210001,40.89461,-73.86124,42.696,-74.9232
6214290,6210001,43.1929,-77.587,42.696,-74.9232
6211460,6210001,41.014718,-73.86265,42.696,-74.9232
6215300,6210001,41.4018,-73.9773,42.696,-74.9232
6212692,6210001,40.8478,-73.8397,42.696,-74.9232
6210400,6210001,40.941817,-73.836213,42.696,-74.9232
6210120,6210001,44.3377,-75.9206,42.696,-74.9232
6211105,6210001,42.920548,-78.867309,42.696,-74.9232
6215180,6210001,41.2614,-74.3573,42.696,-74.9232
6214920,6210001,43.04104,-76.15086,42.696,-74.9232
6212675,6210001,40.8313,-73.9037,42.696,-74.9232
6215480,6210001,40.939391,-73.892385,42.696,-74.9232
6215130,6210001,43.1003,-75.2602,42.696,-74.9232
6211120,6210001,42.8987,-78.8646,42.696,-74.9232
6212280,6210001,40.768329,-73.924804,42.696,-74.9232
6213270,6210001,40.8426,-73.9446,42.696,-74.9232
6210390,6210001,43.220198,-77.944558,42.696,-74.9232
6211805,6210001,40.709285,-73.603857,42.696,-74.9232
6212655,6210001,40.7327,-73.9816,42.696,-74.9232
6211680,6210001,40.7532,-73.7069,42.696,-74.9232
6214310,6210001,43.1236,-77.6103,42.696,-74.9232
6214612,6210001,42.559125,-79.127512,42.696,-74.9232
6213700,6210001,43.026259,-78.862302,42.696,-74.9232
6214923,6210001,43.0386,-76.139,42.696,-74.9232
6211770,6210001,41.1104,-72.3609,42.696,-74.9232
6211370,6210001,42.6088,-76.1876,42.696,-74.9232
6212450,6210001,40.7406,-73.643,42.696,-74.9232
6210035,6210001,40.6068,-74.0212,42.696,-74.9232
6213010,6210001,40.8169,-73.9244,42.696,-74.9232
6210220,6210001,43.004001,-78.178711,42.696,-74.9232
6210023,6210001,44.039743,-75.723331,42.696,-74.9232
6213820,6210001,43.0776,-75.6541,42.696,-74.9232
6211050,6210001,42.90891,-78.87543,42.696,-74.9232
6215260,6210001,42.1224,-77.9506,42.696,-74.9232
6210040,6210001,42.644428,-73.784614,42.696,-74.9232
6211180,6210001,42.8762,-77.2897,42.696,-74.9232
6212645,6210001,40.842698,-73.838249,42.696,-74.9232
6210665,6210001,40.6782,-73.9375,42.696,-74.9232
6212270,6210001,40.5945,-73.650995,42.696,-74.9232
6213580,6210001,40.869,-73.903,42.696,-74.9232
6212900,6210001,40.765,-73.9526,42.696,-74.9232
6213900,6210001,43.4541,-76.5165,42.696,-74.9232
6211100,6210001,42.8476,-78.8126,42.696,-74.9232
6214540,6210001,42.79321,-73.87953,42.696,-74.9232
6214280,6210001,43.1918,-77.7037,42.696,-74.9232
6210965,6210001,40.7004,-73.9418,42.696,-74.9232
6210350,6210001,42.1059,-75.8682,42.696,-74.9232
6215050,6210001,43.090799,-75.257899,42.696,-74.9232
6211840,6210001,40.718613,-73.770864,42.696,-74.9232
6210690,6210001,40.6567,-73.9462,42.696,-74.9232
6211190,6210001,42.901,-77.2712,42.696,-74.9232
6212230,6210001,43.0441,-74.8489,42.696,-74.9232
6214650,6210001,42.5085,-78.6592,42.696,-74.9232
6212320,6210001,43.7957,-75.4995,42.696,-74.9232
6212370,6210001,42.1464,-74.6425,42.696,-74.9232
6214180,6210001,41.9351,-73.9129,42.696,-74.9232
6213660,6210001,43.1543,-79.0323,42.696,-74.9232
6215320,6210001,41.02613,-73.745598,42.696,-74.9232
6211740,6210001,42.4636,-78.94468,42.696,-74.9232
6214320,6210001,43.147983,-77.63634,42.696,-74.9232
6211040,6210001,42.9291,-78.8802,42.696,-74.9232
6213030,6210001,40.76456,-73.96411,42.696,-74.9232
6213890,6210001,41.177014,-73.848329,42.696,-74.9232
6212040,6210001,42.0913,-79.232,42.696,-74.9232
6215090,6210001,43.082,-75.2664,42.696,-74.9232
6214565,6210001,42.80512,-73.91771,42.696,-74.9232
6210016,6210001,40.68452,-73.41819,42.696,-74.9232
