hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6920615,6920002,43.213925,-123.35531,44.042072,-123.08327
6920012,6920002,44.081996,-123.02869,44.042072,-123.08327
6920599,6920002,45.536403,-122.55581,44.042072,-123.08327
6929120,6920002,45.484854,-122.63462,44.042072,-123.08327
6920006,6920002,45.536292,-122.5567,44.042072,-123.08327
6920010,6920003,44.6317,-123.116,45.5435,-122.67
6920340,6920003,44.0252,-116.977,45.5435,-122.67
6920614,6920003,43.6945,-124.137,45.5435,-122.67
6920025,6920003,42.2057,-122.725,45.5435,-122.67
6920325,6920003,44.63,-124.06,45.5435,-122.67
6920741,6920003,44.0533,-123.004,45.5435,-122.67
6920005,6920003,42.4212,-123.343,45.5435,-122.67
6920015,6920003,46.1883,-123.819,45.5435,-122.67
6920418,6920003,45.5303,-122.698,45.5435,-122.67
6920045,6920003,45.431,-122.561,45.5435,-122.67
6920370,6920003,45.673171,-118.81742,45.5435,-122.67
6920165,6920003,42.4116,-124.418,45.5435,-122.67
6920296,6920003,45.4495,-122.628,45.5435,-122.67
6920615,6920003,43.213925,-123.35531,45.5435,-122.67
6920327,6920003,43.3858,-124.233,45.5435,-122.67
6920708,6920003,44.9325,-123.034,45.5435,-122.67
6920242,6920003,44.6375,-121.12,45.5435,-122.67
6920065,6920003,43.1133,-124.403,45.5435,-122.67
6920231,6920003,42.1811,-120.353,45.5435,-122.67
6920105,6920003,43.1796,-124.179,45.5435,-122.67
6920075,6920003,43.5886,-119.06,45.5435,-122.67
6920002,6920003,44.042072,-123.08327,45.5435,-122.67
6920743,6920003,44.8054,-122.785,45.5435,-122.67
6920290,6920003,42.34,-122.862,45.5435,-122.67
6920612,6920003,44.2887,-121.169,45.5435,-122.67
6920599,6920003,45.536403,-122.55581,45.5435,-122.67
6929120,6920003,45.484854,-122.63462,45.5435,-122.67
6920006,6920003,45.536292,-122.5567,45.5435,-122.67
6920560,6920003,45.5008,-122.684,45.5435,-122.67
6920630,6920003,43.2271,-123.365,45.5435,-122.67
6920160,6920003,44.0464,-123.081,45.5435,-122.67
6920172,6920003,45.3559,-119.549,45.5435,-122.67
6920725,6920003,45.9889,-123.912,45.5435,-122.67
6920051,6920003,44.0815,-123.027,45.5435,-122.67
6920070,6920003,44.068,-121.269,45.5435,-122.67
6920241,6920003,44.5511,-122.907,45.5435,-122.67
6920350,6920003,45.3563,-122.587,45.5435,-122.67
6920163,6920003,43.9747,-124.119,45.5435,-122.67
6920660,6920003,44.9394,-123.003,45.5435,-122.67
6920510,6920003,45.5123,-122.559,45.5435,-122.67
6920243,6920003,44.9858,-123.995,45.5435,-122.67
6920207,6920003,42.253,-121.785,45.5435,-122.67
6920110,6920003,44.6032,-123.253,45.5435,-122.67
6920060,6920003,44.7948,-117.847,45.5435,-122.67
6920195,6920003,44.4174,-118.958,45.5435,-122.67
6920190,6920003,45.7046,-121.524,45.5435,-122.67
6920620,6920003,43.2417,-123.367,45.5435,-122.67
6920280,6920003,42.3175,-122.831,45.5435,-122.67
6920610,6920003,44.2986,-120.827,45.5435,-122.67
6920590,6920003,45.4963,-122.684,45.5435,-122.67
6920570,6920003,45.5,-122.687,45.5435,-122.67
6920007,6920003,45.5358,-122.556,45.5435,-122.67
6920125,6920003,43.8039,-123.04,45.5435,-122.67
6920012,6920003,44.081996,-123.02869,45.5435,-122.67
6920173,6920003,45.5175,-122.407,45.5435,-122.67
6920740,6920003,45.0045,-122.79,45.5435,-122.67
6920015,6920004,46.1883,-123.819,45.5195,-122.978
6920051,6920004,44.0815,-123.027,45.5195,-122.978
6920599,6920004,45.536403,-122.55581,45.5195,-122.978
6920740,6920004,45.0045,-122.79,45.5195,-122.978
6920110,6920004,44.6032,-123.253,45.5195,-122.978
6920743,6920004,44.8054,-122.785,45.5195,-122.978
6920370,6920004,45.673171,-118.81742,45.5195,-122.978
6920780,6920004,45.4569,-123.854,45.5195,-122.978
6920165,6920004,42.4116,-124.418,45.5195,-122.978
6920140,6920004,45.4323,-117.284,45.5195,-122.978
6920805,6920004,45.3789,-122.74,45.5195,-122.978
6920002,6920004,44.042072,-123.08327,45.5195,-122.978
6920520,6920004,45.5274,-122.614,45.5195,-122.978
6920006,6920004,45.536292,-122.5567,45.5195,-122.978
6920105,6920004,43.1796,-124.179,45.5195,-122.978
6920510,6920004,45.5123,-122.559,45.5195,-122.978
6920231,6920004,42.1811,-120.353,45.5195,-122.978
6920210,6920004,45.3195,-118.106,45.5195,-122.978
6920175,6920004,45.8361,-119.312,45.5195,-122.978
6920660,6920004,44.9394,-123.003,45.5195,-122.978
6920241,6920004,44.5511,-122.907,45.5195,-122.978
6920207,6920004,42.253,-121.785,45.5195,-122.978
6920770,6920004,45.5873,-121.164,45.5195,-122.978
6920025,6920004,42.2057,-122.725,45.5195,-122.978
6920005,6920004,42.4212,-123.343,45.5195,-122.978
6920243,6920004,44.9858,-123.995,45.5195,-122.978
6920590,6920004,45.4963,-122.684,45.5195,-122.978
6920380,6920004,45.6478,-118.812,45.5195,-122.978
6920725,6920004,45.9889,-123.912,45.5195,-122.978
6920540,6920004,45.5096,-122.771,45.5195,-122.978
6920620,6920004,43.2417,-123.367,45.5195,-122.978
6920195,6920004,44.4174,-118.958,45.5195,-122.978
6920172,6920004,45.3559,-119.549,45.5195,-122.978
6920125,6920004,43.8039,-123.04,45.5195,-122.978
6920612,6920004,44.2887,-121.169,45.5195,-122.978
6920242,6920004,44.6375,-121.12,45.5195,-122.978
6920003,6920004,45.5435,-122.67,45.5195,-122.978
6920060,6920004,44.7948,-117.847,45.5195,-122.978
6920340,6920004,44.0252,-116.977,45.5195,-122.978
6920610,6920004,44.2986,-120.827,45.5195,-122.978
6920741,6920004,44.0533,-123.004,45.5195,-122.978
6920010,6920004,44.6317,-123.116,45.5195,-122.978
6920350,6920004,45.3563,-122.587,45.5195,-122.978
6920130,6920004,44.9192,-123.311,45.5195,-122.978
6920614,6920004,43.6945,-124.137,45.5195,-122.978
6920630,6920004,43.2271,-123.365,45.5195,-122.978
6920325,6920004,44.63,-124.06,45.5195,-122.978
6920615,6920004,43.213925,-123.35531,45.5195,-122.978
6920296,6920004,45.4495,-122.628,45.5195,-122.978
6929120,6920004,45.484854,-122.63462,45.5195,-122.978
6920434,6920004,45.5391,-122.877,45.5195,-122.978
6920560,6920004,45.5008,-122.684,45.5195,-122.978
6920160,6920004,44.0464,-123.081,45.5195,-122.978
6920012,6920004,44.081996,-123.02869,45.5195,-122.978
6920418,6920004,45.5303,-122.698,45.5195,-122.978
6920290,6920004,42.34,-122.862,45.5195,-122.978
6920075,6920004,43.5886,-119.06,45.5195,-122.978
6920070,6920004,44.068,-121.269,45.5195,-122.978
6920570,6920004,45.5,-122.687,45.5195,-122.978
6920708,6920004,44.9325,-123.034,45.5195,-122.978
6920045,6920004,45.431,-122.561,45.5195,-122.978
6920065,6920004,43.1133,-124.403,45.5195,-122.978
6920327,6920004,43.3858,-124.233,45.5195,-122.978
6920190,6920004,45.7046,-121.524,45.5195,-122.978
6920007,6920004,45.5358,-122.556,45.5195,-122.978
6920173,6920004,45.5175,-122.407,45.5195,-122.978
6920163,6920004,43.9747,-124.119,45.5195,-122.978
6920280,6920004,42.3175,-122.831,45.5195,-122.978
6920025,6920005,42.2057,-122.725,42.4212,-123.343
6920599,6920005,45.536403,-122.55581,42.4212,-123.343
6920327,6920005,43.3858,-124.233,42.4212,-123.343
6929120,6920005,45.484854,-122.63462,42.4212,-123.343
6920110,6920005,44.6032,-123.253,42.4212,-123.343
6920296,6920005,45.4495,-122.628,42.4212,-123.343
6920065,6920005,43.1133,-124.403,42.4212,-123.343
6920370,6920005,45.673171,-118.81742,42.4212,-123.343
6920105,6920005,43.1796,-124.179,42.4212,-123.343
6920006,6920005,45.536292,-122.5567,42.4212,-123.343
6920620,6920005,43.2417,-123.367,42.4212,-123.343
6920075,6920005,43.5886,-119.06,42.4212,-123.343
6920725,6920005,45.9889,-123.912,42.4212,-123.343
6920165,6920005,42.4116,-124.418,42.4212,-123.343
6920630,6920005,43.2271,-123.365,42.4212,-123.343
6920002,6920005,44.042072,-123.08327,42.4212,-123.343
6920610,6920005,44.2986,-120.827,42.4212,-123.343
6920614,6920005,43.6945,-124.137,42.4212,-123.343
6920190,6920005,45.7046,-121.524,42.4212,-123.343
6920290,6920005,42.34,-122.862,42.4212,-123.343
6920015,6920005,46.1883,-123.819,42.4212,-123.343
6920615,6920005,43.213925,-123.35531,42.4212,-123.343
6920070,6920005,44.068,-121.269,42.4212,-123.343
6920060,6920005,44.7948,-117.847,42.4212,-123.343
6920280,6920005,42.3175,-122.831,42.4212,-123.343
6920612,6920005,44.2887,-121.169,42.4212,-123.343
6920045,6920005,45.431,-122.561,42.4212,-123.343
6920195,6920005,44.4174,-118.958,42.4212,-123.343
6920242,6920005,44.6375,-121.12,42.4212,-123.343
6920350,6920005,45.3563,-122.587,42.4212,-123.343
6920012,6920005,44.081996,-123.02869,42.4212,-123.343
6929120,6920006,45.484854,-122.63462,45.536292,-122.5567
6920599,6920006,45.536403,-122.55581,45.536292,-122.5567
6920615,6920006,43.213925,-123.35531,45.536292,-122.5567
6920340,6920007,44.0252,-116.977,45.5358,-122.556
6920296,6920007,45.4495,-122.628,45.5358,-122.556
6920614,6920007,43.6945,-124.137,45.5358,-122.556
6920025,6920007,42.2057,-122.725,45.5358,-122.556
6920325,6920007,44.63,-124.06,45.5358,-122.556
6920599,6920007,45.536403,-122.55581,45.5358,-122.556
6920010,6920007,44.6317,-123.116,45.5358,-122.556
6920165,6920007,42.4116,-124.418,45.5358,-122.556
6920243,6920007,44.9858,-123.995,45.5358,-122.556
6929120,6920007,45.484854,-122.63462,45.5358,-122.556
6920231,6920007,42.1811,-120.353,45.5358,-122.556
6920610,6920007,44.2986,-120.827,45.5358,-122.556
6920105,6920007,43.1796,-124.179,45.5358,-122.556
6920075,6920007,43.5886,-119.06,45.5358,-122.556
6920172,6920007,45.3559,-119.549,45.5358,-122.556
6920370,6920007,45.673171,-118.81742,45.5358,-122.556
6920327,6920007,43.3858,-124.233,45.5358,-122.556
6920060,6920007,44.7948,-117.847,45.5358,-122.556
6920065,6920007,43.1133,-124.403,45.5358,-122.556
6920045,6920007,45.431,-122.561,45.5358,-122.556
6920070,6920007,44.068,-121.269,45.5358,-122.556
6920051,6920007,44.0815,-123.027,45.5358,-122.556
6920708,6920007,44.9325,-123.034,45.5358,-122.556
6920290,6920007,42.34,-122.862,45.5358,-122.556
6920350,6920007,45.3563,-122.587,45.5358,-122.556
6920005,6920007,42.4212,-123.343,45.5358,-122.556
6920741,6920007,44.0533,-123.004,45.5358,-122.556
6920418,6920007,45.5303,-122.698,45.5358,-122.556
6920660,6920007,44.9394,-123.003,45.5358,-122.556
6920110,6920007,44.6032,-123.253,45.5358,-122.556
6920006,6920007,45.536292,-122.5567,45.5358,-122.556
6920241,6920007,44.5511,-122.907,45.5358,-122.556
6920725,6920007,45.9889,-123.912,45.5358,-122.556
6920560,6920007,45.5008,-122.684,45.5358,-122.556
