hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6520008,6520001,36.252855,-86.68225,36.2772,-87.0657
6520320,6520001,36.1741,-82.7904,36.2772,-87.0657
6520050,6520001,35.914521,-86.815685,36.2772,-87.0657
6520455,6520001,36.1712,-85.5094,36.2772,-87.0657
6520580,6520001,36.3889,-84.1118,36.2772,-87.0657
6520772,6520001,35.093038,-89.802062,36.2772,-87.0657
6520410,6520001,35.683749,-88.853238,36.2772,-87.0657
6520090,6520001,35.123301,-85.237856,36.2772,-87.0657
6520105,6520001,35.042441,-85.261084,36.2772,-87.0657
6520645,6520001,35.49739,-86.077035,36.2772,-87.0657
6520017,6520001,36.543415,-85.501169,36.2772,-87.0657
6520505,6520001,35.95555,-83.91473,36.2772,-87.0657
6520012,6520001,36.258432,-85.972546,36.2772,-87.0657
6520190,6520001,35.19236,-84.88529,36.2772,-87.0657
6520960,6520001,36.182199,-86.846529,36.2772,-87.0657
6521180,6520001,35.246064,-89.363507,36.2772,-87.0657
6520024,6520001,35.135855,-90.018112,36.2772,-87.0657
6520253,6520001,36.3461,-82.2499,36.2772,-87.0657
6520500,6520001,35.925679,-83.992576,36.2772,-87.0657
6520066,6520001,36.0551,-88.1081,36.2772,-87.0657
6520675,6520001,36.137571,-88.490536,36.2772,-87.0657
6520180,6520001,35.17954,-84.86779,36.2772,-87.0657
6520055,6520001,35.60951,-89.243262,36.2772,-87.0657
6520027,6520001,35.93793,-83.94859,36.2772,-87.0657
6520365,6520001,35.813866,-88.895102,36.2772,-87.0657
6520025,6520001,35.900117,-84.144853,36.2772,-87.0657
6520550,6520001,35.992222,-83.92793,36.2772,-87.0657
6520900,6520001,36.214671,-83.304164,36.2772,-87.0657
6521111,6520001,35.636,-88.1232,36.2772,-87.0657
6520445,6520001,36.576,-84.128,36.2772,-87.0657
6520026,6520001,35.908362,-84.121309,36.2772,-87.0657
6521260,6520001,35.8326,-86.0721,36.2772,-87.0657
6521084,6520001,36.0259,-84.243,36.2772,-87.0657
6521223,6520001,35.962909,-88.939639,36.2772,-87.0657
6529075,6520001,36.0229,-88.412,36.2772,-87.0657
6521195,6520001,35.5636,-86.4488,36.2772,-87.0657
6520046,6520001,35.1775,-84.8694,36.2772,-87.0657
6520655,6520001,35.871765,-84.02241,36.2772,-87.0657
6520670,6520001,35.7565,-83.9587,36.2772,-87.0657
6520465,6520001,36.32286,-82.35488,36.2772,-87.0657
6520480,6520001,36.308282,-82.386846,36.2772,-87.0657
6520213,6520001,35.026645,-84.385478,36.2772,-87.0657
6520038,6520001,35.052608,-85.14512,36.2772,-87.0657
6520033,6520001,35.957229,-83.93642,36.2772,-87.0657
6520680,6520001,35.140158,-90.030988,36.2772,-87.0657
6521080,6520001,36.0243,-84.2455,36.2772,-87.0657
6521145,6520001,35.746446,-89.549509,36.2772,-87.0657
6521116,6520001,35.6043,-85.1935,36.2772,-87.0657
6520271,6520001,35.343055,-84.520636,36.2772,-87.0657
6521068,6520001,36.138698,-86.803099,36.2772,-87.0657
6521002,6520001,36.18312,-86.74857,36.2772,-87.0657
6521167,6520001,35.162875,-88.574335,36.2772,-87.0657
6520875,6520001,35.141281,-90.028655,36.2772,-87.0657
6520415,6520001,36.431432,-84.942716,36.2772,-87.0657
6521205,6520001,35.047562,-85.631572,36.2772,-87.0657
6520935,6520001,36.1539,-86.8025,36.2772,-87.0657
6520218,6520001,36.11245,-85.55684,36.2772,-87.0657
6521093,6520001,36.5043,-84.5154,36.2772,-87.0657
6520001,6520002,36.2772,-87.0657,36.1537,-86.8092
6520033,6520002,35.957229,-83.93642,36.1537,-86.8092
6520090,6520002,35.123301,-85.237856,36.1537,-86.8092
6520465,6520002,36.32286,-82.35488,36.1537,-86.8092
6520066,6520002,36.0551,-88.1081,36.1537,-86.8092
6520445,6520002,36.576,-84.128,36.1537,-86.8092
6521093,6520002,36.5043,-84.5154,36.1537,-86.8092
6521060,6520002,36.1413,-86.8018,36.1537,-86.8092
6520960,6520002,36.182199,-86.846529,36.1537,-86.8092
6520580,6520002,36.3889,-84.1118,36.1537,-86.8092
6521167,6520002,35.162875,-88.574335,36.1537,-86.8092
6521222,6520002,36.4529,-83.5725,36.1537,-86.8092
6520024,6520002,35.135855,-90.018112,36.1537,-86.8092
6520021,6520002,36.1527,-86.8005,36.1537,-86.8092
6520017,6520002,36.543415,-85.501169,36.1537,-86.8092
6520410,6520002,35.683749,-88.853238,36.1537,-86.8092
6521180,6520002,35.246064,-89.363507,36.1537,-86.8092
6520213,6520002,35.026645,-84.385478,36.1537,-86.8092
6521205,6520002,35.047562,-85.631572,36.1537,-86.8092
6520320,6520002,36.1741,-82.7904,36.1537,-86.8092
6521260,6520002,35.8326,-86.0721,36.1537,-86.8092
6520008,6520002,36.252855,-86.68225,36.1537,-86.8092
6520670,6520002,35.7565,-83.9587,36.1537,-86.8092
6520050,6520002,35.914521,-86.815685,36.1537,-86.8092
6520025,6520002,35.900117,-84.144853,36.1537,-86.8092
6520190,6520002,35.19236,-84.88529,36.1537,-86.8092
6520027,6520002,35.93793,-83.94859,36.1537,-86.8092
6520940,6520002,36.164,-86.6473,36.1537,-86.8092
6520665,6520002,35.4687,-86.084,36.1537,-86.8092
6521010,6520002,36.1668,-86.8071,36.1537,-86.8092
6521002,6520002,36.18312,-86.74857,36.1537,-86.8092
6520415,6520002,36.431432,-84.942716,36.1537,-86.8092
6521111,6520002,35.636,-88.1232,36.1537,-86.8092
6521020,6520002,36.2409,-86.7572,36.1537,-86.8092
6520675,6520002,36.137571,-88.490536,36.1537,-86.8092
6521068,6520002,36.138698,-86.803099,36.1537,-86.8092
6520772,6520002,35.093038,-89.802062,36.1537,-86.8092
6520253,6520002,36.3461,-82.2499,36.1537,-86.8092
6520038,6520002,35.052608,-85.14512,36.1537,-86.8092
6520044,6520002,36.1825,-86.8479,36.1537,-86.8092
6520900,6520002,36.214671,-83.304164,36.1537,-86.8092
6520046,6520002,35.1775,-84.8694,36.1537,-86.8092
6520043,6520002,36.1764,-86.6081,36.1537,-86.8092
6521223,6520002,35.962909,-88.939639,36.1537,-86.8092
6521116,6520002,35.6043,-85.1935,36.1537,-86.8092
6520480,6520002,36.308282,-82.386846,36.1537,-86.8092
6520055,6520002,35.60951,-89.243262,36.1537,-86.8092
6521195,6520002,35.5636,-86.4488,36.1537,-86.8092
6520505,6520002,35.95555,-83.91473,36.1537,-86.8092
6520271,6520002,35.343055,-84.520636,36.1537,-86.8092
6520105,6520002,35.042441,-85.261084,36.1537,-86.8092
6521145,6520002,35.746446,-89.549509,36.1537,-86.8092
6520215,6520002,35.9392,-85.0186,36.1537,-86.8092
6520026,6520002,35.908362,-84.121309,36.1537,-86.8092
6520218,6520002,36.11245,-85.55684,36.1537,-86.8092
6520550,6520002,35.992222,-83.92793,36.1537,-86.8092
6521080,6520002,36.0243,-84.2455,36.1537,-86.8092
6520500,6520002,35.925679,-83.992576,36.1537,-86.8092
6520680,6520002,35.140158,-90.030988,36.1537,-86.8092
6520455,6520002,36.1712,-85.5094,36.1537,-86.8092
6520365,6520002,35.813866,-88.895102,36.1537,-86.8092
6520935,6520002,36.1539,-86.8025,36.1537,-86.8092
6529075,6520002,36.0229,-88.412,36.1537,-86.8092
