hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6350568,6350001,39.651698,-79.962117,39.656231,-79.952952
6350001,6350002,39.656231,-79.952952,38.4182,-82.3382
6350295,6350002,38.6608,-80.7492,38.4182,-82.3382
6350568,6350002,39.651698,-79.962117,38.4182,-82.3382
6350485,6350002,39.4764,-77.9802,38.4182,-82.3382
6350840,6350002,37.6782,-82.2721,38.4182,-82.3382
6350370,6350002,38.4196,-82.4368,38.4182,-82.3382
6350468,6350002,38.0481,-81.8063,38.4182,-82.3382
6350510,6350002,39.4173,-77.9131,38.4182,-82.3382
6350100,6350002,37.24279,-81.23334,38.4182,-82.3382
6350380,6350002,38.4115,-82.4135,38.4182,-82.3382
6350670,6350002,38.2205,-80.54357,38.4182,-82.3382
6350610,6350002,39.277635,-81.551923,38.4182,-82.3382
6350415,6350002,38.451383,-81.95157,38.4182,-82.3382
6350070,6350002,37.2559,-81.2341,38.4182,-82.3382
6358020,6350002,38.38094,-81.76754,38.4182,-82.3382
6350300,6350002,39.4824,-80.1654,38.4182,-82.3382
6350820,6350002,40.0602,-80.7213,38.4182,-82.3382
6350630,6350002,39.1441,-80.0623,38.4182,-82.3382
6350009,6350002,38.4324,-82.4007,38.4182,-82.3382
6350460,6350002,37.849,-81.9932,38.4182,-82.3382
6350345,6350002,38.4091,-82.4275,38.4182,-82.3382
6350400,6350002,38.4324,-82.4007,38.4182,-82.3382
6359121,6350005,39.2714,-80.3714,39.6568,-79.9622
6350180,6350005,38.354,-81.6331,39.6568,-79.9622
6350002,6350005,38.4182,-82.3382,39.6568,-79.9622
6350380,6350005,38.4115,-82.4135,39.6568,-79.9622
6350755,6350005,40.3955,-80.5279,39.6568,-79.9622
6350650,6350005,37.3636,-81.1115,39.6568,-79.9622
6350415,6350005,38.451383,-81.95157,39.6568,-79.9622
6350840,6350005,37.6782,-82.2721,39.6568,-79.9622
6350780,6350005,37.438,-81.5891,39.6568,-79.9622
6350008,6350005,38.354,-81.6331,39.6568,-79.9622
6350317,6350005,38.9229,-81.0925,39.6568,-79.9622
6350200,6350005,38.3434,-81.63,39.6568,-79.9622
6350300,6350005,39.4824,-80.1654,39.6568,-79.9622
6350590,6350005,37.9713,-81.1491,39.6568,-79.9622
6350001,6350005,39.656231,-79.952952,39.6568,-79.9622
6350400,6350005,38.4324,-82.4007,39.6568,-79.9622
6350100,6350005,37.24279,-81.23334,39.6568,-79.9622
6350635,6350005,38.8692,-82.1229,39.6568,-79.9622
6350630,6350005,39.1441,-80.0623,39.6568,-79.9622
6350468,6350005,38.0481,-81.8063,39.6568,-79.9622
6358020,6350005,38.38094,-81.76754,39.6568,-79.9622
6350120,6350005,38.348,-81.6266,39.6568,-79.9622
6350485,6350005,39.4764,-77.9802,39.6568,-79.9622
6350310,6350005,39.9467,-80.7542,39.6568,-79.9622
6350510,6350005,39.4173,-77.9131,39.6568,-79.9622
6350680,6350005,37.7731,-80.4704,39.6568,-79.9622
6350460,6350005,37.849,-81.9932,39.6568,-79.9622
6350007,6350005,39.6534,-79.9568,39.6568,-79.9622
6350568,6350005,39.651698,-79.962117,39.6568,-79.9622
6350345,6350005,38.4091,-82.4275,39.6568,-79.9622
6350540,6350005,38.1826,-81.3246,39.6568,-79.9622
6350625,6350005,39.0012,-79.1372,39.6568,-79.9622
6350710,6350005,38.3541,-81.7264,39.6568,-79.9622
6350555,6350005,39.6641,-79.9464,39.6568,-79.9622
6350800,6350005,39.0477,-80.4924,39.6568,-79.9622
6350009,6350005,38.4324,-82.4007,39.6568,-79.9622
6350642,6350005,37.3631,-81.1116,39.6568,-79.9622
6350645,6350005,39.296,-77.8587,39.6568,-79.9622
6350810,6350005,39.0409,-80.4969,39.6568,-79.9622
6350070,6350005,37.2559,-81.2341,39.6568,-79.9622
6350672,6350005,38.8229,-81.7299,39.6568,-79.9622
6350675,6350005,39.3333,-78.6985,39.6568,-79.9622
6350245,6350005,39.2703,-80.3627,39.6568,-79.9622
6350450,6350005,37.8466,-81.9958,39.6568,-79.9622
6350215,6350005,38.3147,-81.5687,39.6568,-79.9622
6350670,6350005,38.2205,-80.54357,39.6568,-79.9622
6350370,6350005,38.4196,-82.4368,39.6568,-79.9622
6350820,6350005,40.0602,-80.7213,39.6568,-79.9622
6350420,6350005,39.4095,-79.0032,39.6568,-79.9622
6350610,6350005,39.277635,-81.551923,39.6568,-79.9622
6350295,6350005,38.6608,-80.7492,39.6568,-79.9622
6350220,6350005,39.3285,-80.2396,39.6568,-79.9622
6350468,6350006,38.0481,-81.8063,37.7876,-81.2018
6350555,6350006,39.6641,-79.9464,37.7876,-81.2018
6350650,6350006,37.3636,-81.1115,37.7876,-81.2018
6350245,6350006,39.2703,-80.3627,37.7876,-81.2018
6350001,6350006,39.656231,-79.952952,37.7876,-81.2018
6350680,6350006,37.7731,-80.4704,37.7876,-81.2018
6350200,6350006,38.3434,-81.63,37.7876,-81.2018
6350120,6350006,38.348,-81.6266,37.7876,-81.2018
6350840,6350006,37.6782,-82.2721,37.7876,-81.2018
6350630,6350006,39.1441,-80.0623,37.7876,-81.2018
6350675,6350006,39.3333,-78.6985,37.7876,-81.2018
6350002,6350006,38.4182,-82.3382,37.7876,-81.2018
6350007,6350006,39.6534,-79.9568,37.7876,-81.2018
6350008,6350006,38.354,-81.6331,37.7876,-81.2018
6350800,6350006,39.0477,-80.4924,37.7876,-81.2018
6350568,6350006,39.651698,-79.962117,37.7876,-81.2018
6350625,6350006,39.0012,-79.1372,37.7876,-81.2018
6358020,6350006,38.38094,-81.76754,37.7876,-81.2018
6350310,6350006,39.9467,-80.7542,37.7876,-81.2018
6350415,6350006,38.451383,-81.95157,37.7876,-81.2018
6350765,6350006,38.2925,-80.83,37.7876,-81.2018
6350810,6350006,39.0409,-80.4969,37.7876,-81.2018
6350317,6350006,38.9229,-81.0925,37.7876,-81.2018
6350420,6350006,39.4095,-79.0032,37.7876,-81.2018
6350425,6350006,39.466,-79.6779,37.7876,-81.2018
6350370,6350006,38.4196,-82.4368,37.7876,-81.2018
6350400,6350006,38.4324,-82.4007,37.7876,-81.2018
6350780,6350006,37.438,-81.5891,37.7876,-81.2018
6350070,6350006,37.2559,-81.2341,37.7876,-81.2018
6350011,6350006,40.0802,-80.6937,37.7876,-81.2018
6350830,6350006,40.0588,-80.685,37.7876,-81.2018
6350635,6350006,38.8692,-82.1229,37.7876,-81.2018
6350100,6350006,37.24279,-81.23334,37.7876,-81.2018
6350055,6350006,37.765,-81.1933,37.7876,-81.2018
6350345,6350006,38.4091,-82.4275,37.7876,-81.2018
6350009,6350006,38.4324,-82.4007,37.7876,-81.2018
6350460,6350006,37.849,-81.9932,37.7876,-81.2018
6350710,6350006,38.3541,-81.7264,37.7876,-81.2018
6350642,6350006,37.3631,-81.1116,37.7876,-81.2018
6350060,6350006,39.6414,-78.1998,37.7876,-81.2018
6350590,6350006,37.9713,-81.1491,37.7876,-81.2018
6350645,6350006,39.296,-77.8587,37.7876,-81.2018
6350485,6350006,39.4764,-77.9802,37.7876,-81.2018
6350672,6350006,38.8229,-81.7299,37.7876,-81.2018
6350295,6350006,38.6608,-80.7492,37.7876,-81.2018
6350450,6350006,37.8466,-81.9958,37.7876,-81.2018
6350480,6350006,38.2007,-80.109,37.7876,-81.2018
6350300,6350006,39.4824,-80.1654,37.7876,-81.2018
6350180,6350006,38.354,-81.6331,37.7876,-81.2018
6350510,6350006,39.4173,-77.9131,37.7876,-81.2018
6350035,6350006,37.7987,-81.1682,37.7876,-81.2018
6350820,6350006,40.0602,-80.7213,37.7876,-81.2018
6359121,6350006,39.2714,-80.3714,37.7876,-81.2018
6350755,6350006,40.3955,-80.5279,37.7876,-81.2018
6350540,6350006,38.1826,-81.3246,37.7876,-81.2018
6350215,6350006,38.3147,-81.5687,37.7876,-81.2018
6350670,6350006,38.2205,-80.54357,37.7876,-81.2018
6350220,6350006,39.3285,-80.2396,37.7876,-81.2018
6350380,6350006,38.4115,-82.4135,37.7876,-81.2018
6350610,6350006,39.277635,-81.551923,37.7876,-81.2018
6350005,6350006,39.6568,-79.9622,37.7876,-81.2018
6350755,6350007,40.3955,-80.5279,39.6534,-79.9568
6350008,6350007,38.354,-81.6331,39.6534,-79.9568
6350180,6350007,38.354,-81.6331,39.6534,-79.9568
6350510,6350007,39.4173,-77.9131,39.6534,-79.9568
6350540,6350007,38.1826,-81.3246,39.6534,-79.9568
6350780,6350007,37.438,-81.5891,39.6534,-79.9568
6350635,6350007,38.8692,-82.1229,39.6534,-79.9568
6359121,6350007,39.2714,-80.3714,39.6534,-79.9568
6350100,6350007,37.24279,-81.23334,39.6534,-79.9568
6350070,6350007,37.2559,-81.2341,39.6534,-79.9568
6350840,6350007,37.6782,-82.2721,39.6534,-79.9568
6350200,6350007,38.3434,-81.63,39.6534,-79.9568
6350415,6350007,38.451383,-81.95157,39.6534,-79.9568
6350317,6350007,38.9229,-81.0925,39.6534,-79.9568
6350380,6350007,38.4115,-82.4135,39.6534,-79.9568
6350310,6350007,39.9467,-80.7542,39.6534,-79.9568
