zip_prefix,state,usps_scf,usps_scf_sub,default_place_name,scf_different_state,not_original_zip
000,,Placeholders for areas with no proper zip code or addresses,,0,0,0
001,,Destinations,outside U.S.,0,0,0
002,,Not in use,,0,0,0
003,,Not in use,,0,0,0
004,,Not in use,,0,0,0
005,NY,Holtsville,IRS,0,0,0
006,PR,San Juan,West,0,0,0
007,PR,San Juan,East,0,0,0
008,VI,Virgin Islands,,0,1,0
009,PR,San Juan,Main,0,0,0
010,MA,Springfield,Vicinity,0,1,0
011,MA,Springfield,Main,1,1,0
012,MA,Pittsfield,,0,1,0
013,MA,Greenfield,,0,0,0
014,MA,Fitchburg,,0,0,0
015,MA,Worcester,Vicinity,0,0,0
016,MA,Worcester,Main,1,0,0
017,MA,Framingham,,0,0,0
018,MA,Woburn,,0,0,0
019,MA,Lynn,,0,0,0
020,MA,Brockton,West,0,0,0
021,MA,Boston,Main 1/East branches,0,0,0
022,MA,Boston,Main 2,0,0,0
023,MA,Brockton,East,0,0,0
024,MA,Boston,West branches,0,0,0
025,MA,Hyannis,West,0,1,0
026,MA,Hyannis,East,0,1,0
027,MA,Providence (RI),East,0,1,0
028,RI,Providence,West,0,0,0
029,RI,Providence,Main,1,0,0
030,NH,Manchester,Vicinity,0,0,0
031,NH,Manchester,Main,1,0,0
032,NH,Concord,Vicinity,0,0,0
033,NH,Concord,,1,0,0
034,NH,Keene,,0,0,0
035,NH,Littleton,South,0,1,0
036,NH,Bellows Falls (VT),East,0,1,0
037,NH,White River Junction (VT),East,0,1,0
038,NH,Portsmouth,West,0,0,0
039,ME,Portsmouth (NH),East,0,0,0
040,ME,Portland,Vicinity,0,0,0
041,ME,Portland,Main,1,0,0
042,ME,Auburn,,0,0,0
043,ME,Augusta,,0,0,0
044,ME,Bangor,,0,0,0
045,ME,Bath,,0,0,0
046,ME,Ellsworth,,0,0,0
047,ME,Houlton,,0,0,0
048,ME,Rockland,,0,0,0
049,ME,Waterville,,0,0,0
050,VT,White River Junction,West,0,0,0
051,VT,Bellows Falls,West,0,0,0
052,VT,Bennington,,0,0,0
053,VT,Brattleboro,,0,0,0
054,VT,Burlington,,0,0,0
055,MA,Andover,IRS,0,0,0
056,VT,Montpelier,,0,0,0
057,VT,Rutland,,0,0,0
058,VT,St. Johnsbury,,0,0,0
059,VT,Littleton (NH),North,0,0,0
060,CT,Hartford,Vicinity,0,0,0
061,CT,Hartford,Main,1,0,0
062,CT,Willimantic,,0,0,0
063,CT,New London,,0,0,0
064,CT,New Haven,Vicinity,0,0,0
065,CT,New Haven,Main,1,0,0
066,CT,Bridgeport,,1,1,0
067,CT,Waterbury,,0,0,0
068,CT,Stamford,Vicinity,0,1,0
069,CT,Stamford,Main,1,1,0
070,NJ,Newark,Vicinity,0,0,0
071,NJ,Newark,Main/branches,1,0,0
072,NJ,Elizabeth,,0,0,0
073,NJ,Jersey City,,0,0,0
074,NJ,Paterson,Vicinity,0,0,0
075,NJ,Paterson,Main,1,0,0
076,NJ,Hackensack,,0,0,0
077,NJ,Red Bank,,0,0,0
078,NJ,Dover,,0,0,0
079,NJ,Summit,,0,0,0
080,NJ,Camden,Vicinity,0,0,0
081,NJ,Camden,Main/branches,1,0,0
082,NJ,Atlantic City,East,0,0,0
083,NJ,Atlantic City,West,0,0,0
084,NJ,Atlantic City,Main,1,0,0
085,NJ,Trenton,Vicinity,0,0,0
086,NJ,Trenton,Main,1,0,0
087,NJ,Lakewood,,0,0,0
088,NJ,New Brunswick,Vicinity,0,0,0
089,NJ,New Brunswick,Main,1,0,0
090,AE,Military,Bases in DE,0,0,0
091,AE,Military,Bases in DE,0,0,0
092,AE,Military,Bases in DE,0,0,0
093,AE,Military,"Bases in IQ, AF, other",0,0,0
094,AE,Military,Bases in UK,0,0,0
095,AE,Military,Naval/Marine,0,0,0
096,AE,Military,"Bases in ES, IT",0,0,0
097,AE,Military,"Bases in EU, GL, CA",0,0,0
098,AE,Military,Africa/Middle East,0,0,0
099,AE,Military,Africa/Middle East,0,0,0
100,NY,New York,Main 1,1,0,0
101,NY,New York,Main 2,1,0,0
102,NY,New York,Main 3,1,0,0
103,NY,Staten Island,,1,0,0
104,NY,The Bronx,,1,0,0
105,NY,White Plains,Vicinity,0,0,0
106,NY,White Plains,Main,1,0,0
107,NY,Yonkers,,1,0,0
108,NY,New Rochelle,,1,0,0
109,NY,Suffern,,0,0,0
110,NY,Floral Park,,0,0,0
111,NY,Long Island City,,0,0,0
112,NY,Brooklyn,,1,0,0
113,NY,Flushing,,0,0,0
114,NY,Jamaica,,0,0,0
115,NY,Mid-Island,,0,0,0
116,NY,Far Rockaway,,0,0,0
117,NY,Mid-Island,,0,0,0
118,NY,Hicksville,,1,0,0
119,NY,Mid-Island,,0,0,0
120,NY,Albany,A-J,0,0,0
121,NY,Albany,K-Z,0,0,0
122,NY,Albany,Main,1,0,0
123,NY,Schenectady,,1,0,0
124,NY,Kingston,,0,0,0
125,NY,Poughkeepsie,Vicinity,0,0,0
126,NY,Poughkeepsie,Main,1,0,0
127,NY,Monticello,,0,0,0
128,NY,Glens Falls,,0,0,0
129,NY,Plattsburgh,,0,0,0
130,NY,Syracuse,A-L,0,0,0
131,NY,Syracuse,M-Z,0,0,0
132,NY,Syracuse,Main,1,0,0
133,NY,Utica,A-L,0,0,0
134,NY,Utica,M-Z,0,0,0
135,NY,Utica,Main,1,0,0
136,NY,Watertown,,0,0,0
137,NY,Binghamton,A-L,0,0,0
138,NY,Binghamton,M-Z,0,0,0
139,NY,Binghamton,Main,1,0,0
140,NY,Buffalo,A-L,0,0,0
141,NY,Buffalo,M-Z,0,0,0
142,NY,Buffalo,Main,1,0,0
143,NY,Niagara Falls,,1,0,0
144,NY,Rochester,A-L,0,0,0
145,NY,Rochester,M-Z,0,0,0
146,NY,Rochester,Main,1,0,0
147,NY,Jamestown,,0,0,0
148,NY,Elmira,Vicinity,0,0,0
149,NY,Elmira,Main,1,0,0
150,PA,Pittsburgh,Distant,0,0,0
151,PA,Pittsburgh,Vicinity,0,0,0
152,PA,Pittsburgh,Main,1,0,0
153,PA,Washington,,0,0,0
154,PA,Uniontown,,0,0,0
155,PA,Somerset,,0,0,0
156,PA,Greensburg,,0,0,0
157,PA,Indiana,,0,0,0
158,PA,DuBois,,0,0,0
159,PA,Johnstown,,0,0,0
160,PA,Butler,,0,0,0
161,PA,New Castle,,0,0,0
162,PA,Kittanning,,0,0,0
163,PA,Oil City,,0,0,0
164,PA,Erie,Vicinity,0,0,0
165,PA,Erie,Main,1,0,0
166,PA,Altoona,,0,0,0
167,PA,Bradford,,0,1,0
168,PA,State College,,0,0,0
169,PA,Wellsboro,,0,0,0
170,PA,Harrisburg,Vicinity,0,0,0
171,PA,Harrisburg,Main,1,0,0
172,PA,Chambersburg,,0,0,0
173,PA,York,Vicinity,0,0,0
174,PA,York,Main,1,0,0
175,PA,Lancaster,Vicinity,0,0,0
176,PA,Lancaster,Main,1,0,0
177,PA,Williamsport,,0,0,0
178,PA,Sunbury,,0,0,0
179,PA,Pottsville,,0,0,0
180,PA,Lehigh Valley,,0,0,0
181,PA,Allentown,,1,0,0
182,PA,Hazleton,,0,0,0
183,PA,East Stroudsburg,,0,0,0
184,PA,Scranton,Vicinity,0,0,0
185,PA,Scranton,Main,1,0,0
186,PA,Wilkes-Barre,Vicinity,0,0,0
187,PA,Wilkes-Barre,Main,1,0,0
188,PA,Montrose,,0,0,0
189,PA,Doylestown,,0,0,0
190,PA,Philadelphia,Vicinity,0,0,0
191,PA,Philadelphia,Main,1,0,0
192,PA,Philadelphia,IRS,0,0,0
193,PA,Paoli,,0,1,0
194,PA,Norristown,,0,0,0
195,PA,Reading,Vicinity,0,0,0
196,PA,Reading,Main,1,0,0
197,DE,Wilmington,Vicinity,0,0,0
198,DE,Wilmington,Main,1,0,0
199,DE,Dover,,0,0,0
200,DC,Washington,Main,1,0,0
201,VA,Dulles,,0,0,1
202,DC,Washington,Government,0,0,0
203,DC,Washington,Government,0,0,0
204,DC,Washington,Government,0,0,0
205,DC,Washington,Government,0,0,0
206,MD,Waldorf,,0,0,0
207,MD,Washington (DC),East,0,0,0
208,MD,Washington (DC),West,0,0,0
209,MD,Washington (DC),North,1,0,0
210,MD,Baltimore,Vicinity,0,0,0
211,MD,Baltimore,Vicinity,0,0,0
212,MD,Baltimore,Main,1,0,0
213,,Not in use,,0,0,0
214,MD,Annapolis,,1,0,0
215,MD,Cumberland,North,0,0,0
216,MD,Easton,,0,0,0
217,MD,Frederick,,0,0,0
218,MD,Salisbury,,0,0,0
219,MD,Wilmington (DE),West,0,0,0
220,VA,Washington (DC),A-L,0,0,0
221,VA,Washington (DC),M-Z,0,0,0
222,VA,Arlington,,1,0,0
223,VA,Alexandria,,1,0,0
224,VA,Fredericksburg,A-K,0,0,0
225,VA,Fredericksburg,L-Z,0,0,0
226,VA,Winchester,,0,0,0
227,VA,Culpeper,,0,0,0
228,VA,Harrisonburg,,0,0,0
229,VA,Charlottesville,,0,0,0
230,VA,Richmond,A-L,0,0,0
231,VA,Richmond,M-Z,0,0,0
232,VA,Richmond,Main,1,0,0
233,VA,Norfolk,A-J,0,0,0
234,VA,Norfolk,K-Z,0,0,0
235,VA,Norfolk,Main,1,0,0
236,VA,Newport News,,0,0,0
237,VA,Portsmouth,,1,0,0
238,VA,Petersburg,,0,0,0
239,VA,Farmville,,0,0,0
240,VA,Roanoke,Main/A-G,0,0,0
241,VA,Roanoke,H-Z,0,0,0
242,VA,Bristol,,0,1,0
243,VA,Pulaski,,0,0,0
244,VA,Staunton,,0,0,0
245,VA,Lynchburg,,0,0,0
246,VA,Bluefield (WV),South,0,1,0
247,WV,Bluefield,North,0,0,0
248,WV,Welch,,0,0,0
249,WV,Lewisburg,,0,0,0
250,WV,Charleston,A-G,0,0,0
251,WV,Charleston,H-S,0,0,0
252,WV,Charleston,T-Z/North,0,0,0
253,WV,Charleston,Main,1,0,0
254,WV,Martinsburg,,0,1,0
255,WV,Huntington,Vicinity,0,0,0
256,WV,Logan / Williamson,,0,0,0
257,WV,Huntington,Main,1,0,0
258,WV,Beckley,A-M,0,0,0
259,WV,Beckley / Hinton,N-Z/Main,0,0,0
260,WV,Wheeling,East,0,1,0
261,WV,Parkersburg,,0,0,0
262,WV,Buckhannon / Elkins,,0,0,0
263,WV,Clarksburg,Main/A-L,0,0,0
