GEOID_ZCTA5_20,ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,zip_join_type
08001,08001,Alloway,NJ,Zip Code Area,Zip matches ZCTA
08002,08002,Cherry Hill,NJ,Zip Code Area,Zip matches ZCTA
08003,08003,Cherry Hill,NJ,Zip Code Area,Zip matches ZCTA
08004,08004,Atco,NJ,Zip Code Area,Zip matches ZCTA
08007,08007,Barrington,NJ,Zip Code Area,Zip matches ZCTA
08009,08009,Berlin,NJ,Zip Code Area,Zip matches ZCTA
08009,08018,Cedar Brook,NJ,Post Office or large volume customer,Spatial join to ZCTA
08010,08010,Beverly,NJ,Zip Code Area,Zip matches ZCTA
08011,08011,Birmingham,NJ,Post Office or large volume customer,Zip matches ZCTA
08012,08012,Blackwood,NJ,Zip Code Area,Zip matches ZCTA
08012,08032,Grenloch,NJ,Zip Code Area,Spatial join to ZCTA
08014,08014,Bridgeport,NJ,Zip Code Area,Zip matches ZCTA
08015,08015,Browns Mills,NJ,Zip Code Area,Zip matches ZCTA
08016,08016,Burlington,NJ,Zip Code Area,Zip matches ZCTA
08019,08019,Chatsworth,NJ,Zip Code Area,Zip matches ZCTA
08020,08020,Clarksboro,NJ,Zip Code Area,Zip matches ZCTA
08021,08021,Clementon,NJ,Zip Code Area,Zip matches ZCTA
08022,08022,Columbus,NJ,Zip Code Area,Zip matches ZCTA
08023,08023,Deepwater,NJ,Post Office or large volume customer,Zip matches ZCTA
08026,08026,Gibbsboro,NJ,Zip Code Area,Zip matches ZCTA
08027,08027,Gibbstown,NJ,Zip Code Area,Zip matches ZCTA
08028,08028,Glassboro,NJ,Zip Code Area,Zip matches ZCTA
08029,08029,Glendora,NJ,Zip Code Area,Zip matches ZCTA
08030,08030,Gloucester City,NJ,Zip Code Area,Zip matches ZCTA
08031,08031,Bellmawr,NJ,Zip Code Area,Zip matches ZCTA
08031,08099,Bellmawr,NJ,Post Office or large volume customer,Spatial join to ZCTA
08033,08033,Haddonfield,NJ,Zip Code Area,Zip matches ZCTA
08034,08034,Cherry Hill,NJ,Zip Code Area,Zip matches ZCTA
08035,08035,Haddon Heights,NJ,Zip Code Area,Zip matches ZCTA
08036,08036,Hainesport,NJ,Zip Code Area,Zip matches ZCTA
08038,08038,Hancocks Bridge,NJ,Post Office or large volume customer,Zip matches ZCTA
08039,08039,Harrisonville,NJ,Post Office or large volume customer,Zip matches ZCTA
08041,08041,Jobstown,NJ,Zip Code Area,Zip matches ZCTA
08042,08042,Juliustown,NJ,Post Office or large volume customer,Zip matches ZCTA
08043,08043,Voorhees,NJ,Zip Code Area,Zip matches ZCTA
08045,08045,Lawnside,NJ,Zip Code Area,Zip matches ZCTA
08046,08046,Willingboro,NJ,Zip Code Area,Zip matches ZCTA
08048,08048,Lumberton,NJ,Zip Code Area,Zip matches ZCTA
08049,08049,Magnolia,NJ,Zip Code Area,Zip matches ZCTA
