fstcd,hosp_count,zip_count,query_count
01,55,768,42240
02,21,259,5439
04,52,508,26416
05,45,688,30960
06,269,2445,657705
08,57,645,36765
09,29,409,11861
10,5,87,435
11,7,222,1554
12,114,1398,159372
13,90,919,82710
15,12,129,1548
16,31,312,9672
17,122,1561,190442
18,95,946,89870
19,81,1017,82377
20,70,742,51940
21,55,918,50490
22,59,668,39412
23,32,484,15488
24,37,594,21978
25,46,657,30222
26,90,1108,99720
27,102,920,93840
28,45,507,22815
29,74,1133,83842
30,32,397,12704
31,59,610,35990
32,21,234,4914
33,21,276,5796
34,54,695,37530
35,33,419,13827
36,136,2066,280976
37,86,1035,89010
38,15,406,6090
39,114,1367,155838
40,61,739,45079
41,52,477,24804
42,108,2078,224424
44,7,90,630
45,51,528,26928
46,25,381,9525
47,67,761,50987
48,245,2432,595840
49,44,339,14916
50,12,305,3660
51,62,1163,72106
53,63,705,44415
54,30,829,24870
55,102,880,89760
56,21,189,3969
