"state_fips","state","zip_unique","zcta_unique","tract_unique","hosps_unique","calculations_zip","calculations_zcta","calculations_tract"
"01","AL",758,640,1179,47,35626,30080,55413
"02","AK",256,236,165,20,5120,4720,3300
"04","AZ",494,400,1507,48,23712,19200,72336
"05","AR",675,588,686,37,24975,21756,25382
"06","CA",2400,1755,8020,249,597600,436995,1996980
"08","CO",634,521,1243,55,34870,28655,68365
"09","CT",403,282,829,26,10478,7332,21554
"10","DE",83,67,215,5,415,335,1075
"11","DC",203,51,179,7,1421,357,1253
"12","FL",1372,972,4186,105,144060,102060,439530
"13","GA",902,732,1962,82,73964,60024,160884
"15","HI",126,94,324,12,1512,1128,3888
"16","ID",305,276,298,27,8235,7452,8046
"17","IL",1539,1379,3120,115,176985,158585,358800
"18","IN",920,774,1507,88,80960,68112,132616
"19","IA",1012,934,824,75,75900,70050,61800
"20","KS",737,696,769,64,47168,44544,49216
"21","KY",881,764,1110,51,44931,38964,56610
"22","LA",649,513,1136,48,31152,24624,54528
"23","ME",479,431,351,28,13412,12068,9828
"24","MD",577,468,1392,34,19618,15912,47328
"25","MA",641,534,1471,44,28204,23496,64724
"26","MI",1101,981,2763,81,89181,79461,223803
"27","MN",905,871,1334,90,81450,78390,120060
"28","MS",498,417,661,44,21912,18348,29084
"29","MO",1122,1022,1393,64,71808,65408,89152
"30","MT",393,360,269,30,11790,10800,8070
"31","NE",608,581,532,52,31616,30212,27664
"32","NV",226,170,682,21,4746,3570,14322
"33","NH",272,247,294,19,5168,4693,5586
"34","NJ",692,593,2001,51,35292,30243,102051
"35","NM",409,363,490,30,12270,10890,14700
"36","NY",2048,1791,4887,118,241664,211338,576666
"37","NC",1023,804,2181,82,83886,65928,178842
"38","ND",400,382,205,13,5200,4966,2665
"39","OH",1358,1195,2946,105,142590,125475,309330
"40","OK",731,646,1045,53,38743,34238,55385
"41","OR",467,417,825,50,23350,20850,41250
"42","PA",2054,1787,3217,95,195130,169765,305615
"44","RI",88,77,241,7,616,539,1687
"45","SC",517,423,1094,45,23265,19035,49230
"46","SD",379,367,221,23,8717,8441,5083
"47","TN",749,628,1496,63,47187,39564,94248
"48","TX",2393,1929,5248,221,528853,426309,1159808
"49","UT",333,286,586,43,14319,12298,25198
"50","VT",302,254,184,12,3624,3048,2208
"51","VA",1145,894,1893,57,65265,50958,107901
"53","WA",697,596,1446,61,42517,36356,88206
"54","WV",781,667,484,29,22649,19343,14036
"55","WI",864,765,1392,96,82944,73440,133632
"56","WY",187,175,132,19,3553,3325,2508
